© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cell Cycle Checkpoints	6.05E01	2.83E-01	NaN	AURKB,BARD1,BIRC5,BLM,BRCA1,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CDC20,CDC25A,CDC25C,CDC45,CDC6,CDC7,CDCA8,CDK1,CDK2,CENPA,CENPE,CENPF,CENPH,CENPI,CENPK,CENPM,CENPN,CENPO,CENPU,CLSPN,DBF4,DNA2,DSN1,ERCC6L,EXO1,GTSE1,H2AX,H2BC13,H2BC17,INCENP,ITGB3BP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,NDC80,NDE1,NSD2,NUF2,ORC1,PKMYT1,PLK1,RFC2,RFC3,RFC4,RMI1,RMI2,SGO1,SGO2,SKA1,SPC24,SPC25,SPDL1,UBE2C,UBE2S,ZWINT	
Mitotic Prometaphase	3.92E01	2.59E-01	NaN	AURKB,BIRC5,BUB1,BUB1B,CCNB1,CCNB2,CDC20,CDCA5,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPH,CENPI,CENPK,CENPM,CENPN,CENPO,CENPU,CNTRL,DSN1,ERCC6L,FIRRM,HAUS7,HAUS8,INCENP,ITGB3BP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,MZT2A,NCAPD2,NCAPG,NCAPH,NDC80,NDE1,NEK2,NUF2,PLK1,PLK4,SGO1,SGO2,SKA1,SMC2,SMC4,SPC24,SPC25,SPDL1,TUBA3C,ZWINT	
Kinetochore Metaphase Signaling Pathway	3.91E01	3.98E-01	NaN	AURKB,BIRC5,BUB1,BUB1B,CCNB1,CDC20,CDCA8,CDK1,CENPA,CENPE,CENPH,CENPK,CENPN,CENPO,CENPU,CENPW,DSN1,ESPL1,H2AX,H2AZ1,H2AZ2,INCENP,KIF2C,KNL1,KNTC1,MAD2L1,MAD2L2,MASTL,MXD3,NDC80,NEK2,NUF2,PLK1,PTTG1,SKA1,SKA3,SPC24,SPC25,SPDL1,TTK,ZWINT	
Mitotic Metaphase and Anaphase	3.14E01	2.08E-01	NaN	AURKB,BIRC5,BUB1,BUB1B,CCNB1,CCNB2,CDC20,CDCA5,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPH,CENPI,CENPK,CENPM,CENPN,CENPO,CENPU,DSN1,ERCC6L,ESPL1,FBXO5,INCENP,ITGB3BP,KIF18A,KIF2C,KNL1,KNTC1,LBR,LMNB1,MAD2L1,NDC80,NDE1,NUF2,PLK1,PTTG1,SGO1,SGO2,SKA1,SPC24,SPC25,SPDL1,TMPO,TUBA3C,UBE2C,UBE2S,ZWINT	
RHO GTPases Activate Formins	2.91E01	2.71E-01	NaN	AURKB,BIRC5,BUB1,BUB1B,CDC20,CDCA8,CENPA,CENPE,CENPF,CENPH,CENPI,CENPK,CENPM,CENPN,CENPO,CENPU,DIAPH3,DSN1,ERCC6L,INCENP,ITGB3BP,KIF18A,KIF2C,KNL1,KNTC1,MAD2L1,NDC80,NDE1,NUF2,PLK1,SGO1,SGO2,SKA1,SPC24,SPC25,SPDL1,TUBA3C,ZWINT	
Synthesis of DNA	2.41E01	2.62E-01	NaN	CCNA2,CCNE2,CDC45,CDC6,CDK2,CDT1,DNA2,FEN1,GINS1,GINS2,GINS4,GMNN,LIG1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,PCNA,POLA1,POLA2,POLE2,PRIM1,RFC2,RFC3,RFC4,SKP2,UBE2C,UBE2S	
Activation of the pre-replicative complex	2.34E01	5.71E-01	NaN	CDC45,CDC6,CDC7,CDK2,CDT1,DBF4,GMNN,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,POLA1,POLA2,POLE2,PRIM1	
Cell Cycle Control of Chromosomal Replication	2.23E01	4.04E-01	NaN	CDC45,CDC6,CDC7,CDK1,CDK15,CDK2,CDT1,DBF4,DNA2,LIG1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,PCNA,POLA1,POLA2,PRIM1,TOP2A	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	2.14E01	2.54E-01	NaN	BARD1,BLM,BRCA1,BRCA2,BRIP1,CCNA2,CDK2,CLSPN,DNA2,EXO1,FIRRM,GEN1,H2AX,H2BC13,H2BC17,NSD2,PCNA,POLE2,RAD51,RAD51AP1,RFC2,RFC3,RFC4,RMI1,RMI2,SLX1B,TIMELESS,XRCC2,XRCC3	
Mitotic G1 phase and G1/S transition	1.95E01	2.2E-01	NaN	CCNA2,CCNB1,CCNE2,CDC25A,CDC45,CDC6,CDK1,CDK2,CDKN2C,CDKN2D,CDT1,CKS1B,DHFR,E2F1,E2F2,FBXO5,MCM8,MYBL2,ORC1,PCNA,POLA1,POLA2,PRIM1,RBL1,RRM2,SKP2,TK1,TOP2A,TYMS	
Nucleosome assembly	1.67E01	3.67E-01	NaN	CENPA,CENPH,CENPI,CENPK,CENPM,CENPN,CENPO,CENPU,CENPW,H2AX,H2AZ2,H2BC13,H2BC17,HJURP,ITGB3BP,KNL1,MIS18A,OIP5	
Role of BRCA1 in DNA Damage Response	1.6E01	2.63E-01	NaN	BARD1,BLM,BRCA1,BRCA2,BRIP1,DPF1,E2F1,E2F2,E2F8,FANCA,FANCB,FANCD2,FANCE,FANCG,PLK1,RAD51,RBL1,RFC2,RFC3,RFC4,SLC19A1	
Telomere Maintenance	1.5E01	2.36E-01	NaN	BLM,CCNA2,CDK2,CHTF18,DNA2,DSCC1,FEN1,H2AX,H2AZ2,H2BC13,H2BC17,LIG1,PCNA,PIF1,POLA1,POLA2,PRIM1,RFC2,RFC3,RFC4,TERT	
Cohesin Chromatin Regulation Pathway	1.28E01	1.18E-01	NaN	AURKB,BIRC5,BUB1,CCNB1,CCNB2,CDCA5,CDCA8,CDK1,ESCO2,ESPL1,H2AX,H2AZ1,H2AZ2,H2BC13,H2BC17,HASPIN,INCENP,KNL1,NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,PLK1,POLR2J2/POLR2J3,PTGER2,PTTG1,SGO1,SMC2,SMC4,TTK	
Mitotic Roles of Polo-Like Kinase	1.28E01	2.54E-01	NaN	CCNB1,CCNB2,CDC20,CDC25A,CDC25B,CDC25C,CDC7,CDK1,ESPL1,FBXO5,KIF11,KIF23,PKMYT1,PLK1,PLK4,PRC1,PTTG1	
Mitotic G2-G2/M phases	1.27E01	1.35E-01	NaN	AURKA,BORA,CCNA2,CCNB1,CCNB2,CDC25A,CDC25B,CDC25C,CDK1,CDK2,CENPF,CNTRL,E2F1,FOXM1,GTSE1,HAUS7,HAUS8,HMMR,MYBL2,MZT2A,NDE1,NEK2,PKMYT1,PLK1,PLK4,TPX2,TUBA3C	
Hereditary Breast Cancer Signaling	1.19E01	1.59E-01	NaN	BARD1,BLM,BRCA1,BRCA2,CCNB1,CDC25C,CDK1,E2F1,FANCA,FANCB,FANCD2,FANCE,FANCG,H2AX,PIK3CD,POLR2J2/POLR2J3,RAD51,RFC2,RFC3,RFC4,SLC19A1,XRCC2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.15E01	2.59E-01	NaN	BRCA1,CDC25A,CDC25C,CDK1,CDK2,CLSPN,E2F1,E2F2,E2F8,PCNA,PLK1,RFC2,RFC3,RFC4,SLC19A1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.12E01	2.75E-01	NaN	AURKA,BORA,BRCA1,CCNB1,CCNB2,CDC25B,CDC25C,CDK1,CKS1B,CKS2,PKMYT1,PLK1,SKP2,TOP2A	
Kinesins	9.91E00	2.26E-01	NaN	CENPE,KIF11,KIF15,KIF18A,KIF18B,KIF20A,KIF20B,KIF22,KIF23,KIF2C,KIF4A,KIFC1,RACGAP1,TUBA3C	
Estrogen-mediated S-phase Entry	9.78E00	3.85E-01	NaN	CCNA2,CCNE2,CDC25A,CDK1,CDK2,E2F1,E2F2,E2F8,RBL1,SKP2	
Regulation of mitotic cell cycle	9.73E00	1.82E-01	NaN	AURKA,AURKB,BUB1B,CCNA2,CCNB1,CDC20,CDK1,CDK2,FBXO5,MAD2L1,NEK2,PLK1,PTTG1,SKP2,UBE2C,UBE2S	
DNA Replication Pre-Initiation	9.54E00	1.63E-01	NaN	CDC6,CDT1,GMNN,H2AX,H2AZ2,H2BC13,H2BC17,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,UBE2C,UBE2S	
Regulation of TP53 Activity through Phosphorylation	9.35E00	1.72E-01	NaN	AURKA,AURKB,BARD1,BLM,BRCA1,BRIP1,CCNA2,CDK2,DNA2,EXO1,RFC2,RFC3,RFC4,RMI1,RMI2,TPX2	
