© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
AURK (family)	group	2.39E-19	ACER2,AEN,BTG2,CDKN1A,DNAI3,EDA2R,FDXR,GAL3ST4,INKA2,INSYN2A,MYH16,PDE2A,PRAG1,PSTPIP2,SPATA18,STOM,TYMSOS,VWCE,ZNF79	 
ANLN	other	2.39E-19	ACER2,AEN,BTG2,CDKN1A,DNAI3,EDA2R,FDXR,GAL3ST4,INKA2,INSYN2A,MYH16,PDE2A,PRAG1,PSTPIP2,SPATA18,STOM,TYMSOS,VWCE,ZNF79	 
AGT	growth factor	8.62E-08	ADIPOQ,ADORA2B,AREG,ATF3,ATP2A1,ATP2B2,BTK,C1QTNF7,CACNA1C,CAPN3,CCN3,CDKN1A,CEL,COL4A6,CR1,CRABP2,CSPG4,CSRP3,CYBB,DDIT3,EDNRA,ESR1,F3,FDXR,GCH1,GDF15,HGF,IGFBP2,ITGA8,JAG1,KCND3,KITLG,MAPT,MSR1,NCF2,NGF,NOTCH4,PGF,PLAC8,PPARGC1A,PROM1,PTPRC,RASGRF1,SEMA4D,SLC12A1,SLC5A1,SMOC1,SPINK1,TNFRSF1B,TTN,UCP2,VIP,WIPF3	247 (23)
PG3-Oc	chemical reagent	1.02E-07	ACER2,ATF3,CDKN1A,DDB2,GDF15,JAG1,PMAIP1,PRDM1	 
sotorasib	chemical drug	1.07E-07	ACP7,ATP6V0D2,BCL2L14,C15orf48,CD22,DHRS2,DUOX1,LINC02086,MYH16,PLEK2	 
lipopolysaccharide	chemical drug	1.77E-07	ABCG8,ADGB,ADIPOQ,ADORA2B,ADRB2,AEN,ALOXE3,AOAH,APOBEC3H,APOBR,AREG,ATF3,BACH2,BANK1,BTK,BTLA,CCRL2,CD22,CDH17,CDKN1A,COL4A6,COL5A3,CSPG4,CYBB,CYP11A1,DDIT3,DNASE1L3,EDA2R,F3,FYB1,GCH1,GDF15,GNA15,GREB1,HDC,HERC5,HGF,HHLA2,HRK,HSD17B8,IFI30,IL1RN,IL24,IL7R,INHBA,INPP5D,ITGA8,ITGA9,ITGAM,ITIH2,JAG1,KCNJ3,KITLG,LY6D,LY75,LYNX1,MAPT,MDK,MERTK,MMP23B,MSR1,MST1R,MTTP,NCF2,NECTIN4,NGF,NGFR,NOTCH4,NR1I2,NR1I3,PAX5,PDE3B,PLAC8,PLEK,PMAIP1,PPARGC1A,PRDM1,PTAFR,PTPRC,PTPRU,RND3,RTP4,S1PR3,SLC11A1,SLC12A1,SLC40A1,SLC5A1,SPATS1,SPHK1,SPINK1,ST14,ST18,ST8SIA6,STAP1,STEAP4,TFPI2,TIMP4,TNFRSF1B,TRAF1,UCP2,UPP1,VIP,VNN3P,ZNF366	195 (16)
cantharidin	chemical drug	2.15E-07	ATF3,ATP6V0D2,BACH2,CYP3A7,DDB2,DDIT3,DRGX,EBF2,ESR1,ESR2,H3C13,HES7,HSD17B2,ITGAM,KLF14,MAPT,NGFR,PAX5,PRDM1,RAB39B,RND1,SP140,TBX15,TFCP2L1,TOX,TRAF1,TSHZ2,ZNF165,ZNF385B	123 (12)
medroxyprogesterone acetate	chemical drug	6.86E-07	ADRB2,ATP6V0D2,BTG2,C15orf48,CDKN1A,CHD9NB,COL4A6,CYP3A4,DDB2,ESR1,F3,GCH1,HGF,IL24,IL7R,INHBA,ITGA8,ITGA9,MAOB,NOTCH4,PDE3B,PMAIP1,PPL,RASGRF1,SPRY4,SRD5A2,TFPI2,TRIM55,WNT2	181 (14)
buparlisib	chemical drug	7.03E-07	ACP7,ATP6V0D2,BCL2L14,C15orf48,CD22,DHRS2,DUOX1,LINC02086,MYH16,PLEK2	 
IGG (complex)	complex	1.09E-06	ADIPOQ,ADRB2,AREG,BANK1,CDKN1A,CRABP2,DDIT3,DSG3,F3,IL1RN,INHBA,INPP5D,ITGAM,NGF,PDE3B,PPARGC1A,PPIF,PPL,RND3,SLC40A1,ST14,TIGIT,TNFRSF1B,TRAF1	183 (18)
