© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Synaptogenesis Signaling Pathway	6.37E00	6.96E-02	NaN	CAMK2A,CAMK2B,CDH10,CDH12,CDH4,CNTNAP2,CREB5,EPHA7,GRIA4,GRIN2A,GRIN2B,GRM4,GRM7,HCK,KALRN,NRXN1,PLCG2,RASGRP1,RELN,SYT11,SYT16,UNC13A	
Replacement of protamines by nucleosomes in the male pronucleus	6.27E00	2.16E-01	NaN	H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5,H4C14,H4C8,H4C9	
Neuropathic Pain Signaling in Dorsal Horn Neurons	6.1E00	1.19E-01	NaN	CAMK2A,CAMK2B,GRIA4,GRIN2A,GRIN2B,GRM4,GRM7,KCNN3,PLCG2,PLCL1,PRKCB,TACR1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	5.79E00	8.33E-02	NaN	CCR7,COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1,FLT1,IGFBP5,IL1RAPL1,IL1RL1,MMP1,MYH13,MYH14,MYL2,TGFA	
Wound Healing Signaling Pathway	5.55E00	7.23E-02	NaN	COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1,HBEGF,IL12A,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,LAMB3,MMP1,TGFA,TNFSF15,TNFSF8	
Pathogen Induced Cytokine Storm Signaling Pathway	5.54E00	6.02E-02	NaN	CCL26,CCL3,COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1,CXCL2,IL12A,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MAPK4,NOD2,RYR1,STAT4,TLR8,TNFSF15,TNFSF8,XCL1	
Protein Kinase A Signaling	5.28E00	5.81E-02	NaN	CAMK2A,CAMK2B,CNGB1,CREB5,DCC,DUSP5,EBI3,EYA2,MPPED2,MYL2,NFATC2,PDE11A,PDE1A,PDE4C,PDE6G,PLCG2,PLCL1,PRKCB,PTPN5,PTPRD,PTPRQ,PTPRT,RYR1	
GP6 Signaling Pathway	5.01E00	9.38E-02	NaN	COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1,LAMB3,LAMC3,LAT,PLCG2,PRKCB,VAV3	
DNA methylation	5.01E00	2.31E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Agranulocyte Adhesion and Diapedesis	4.93E00	7.14E-02	NaN	AOC3,CCL26,CCL3,CCR7,CLDN1,CXCL2,IL36B,IL36G,IL36RN,MMP1,MMP12,MMP3,MYH13,MYH14,MYL2,XCL1	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	4.81E00	2.14E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
G-Protein Coupled Receptor Signaling	4.74E00	4.49E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CAMK2A,CAMK2B,CCR7,CHRM2,CHRM3,CHRM5,CNGB1,CREB5,EYA2,FZD3,GPR179,GRM4,GRM7,HTR2C,KCNN3,MPPED2,MYL2,NFATC2,P2RY14,PDE11A,PDE1A,PDE4C,PDE6G,PLCG2,PRKCB,RASGRP1,TACR1	
CREB Signaling in Neurons	4.72E00	4.71E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CAMK2A,CAMK2B,CCR7,CHRM2,CHRM3,CHRM5,CREB5,FLT1,FZD3,GPR179,GRIA4,GRID2,GRIN2A,GRIN2B,GRM4,GRM7,HTR2C,NTRK3,P2RY14,PLCG2,PLCL1,PRKCB,TACR1,TGFA	
SIRT1 negatively regulates rRNA expression	4.72E00	2.07E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	4.66E00	5.99E-02	NaN	ADAM7,BIRC3,COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1,CREB5,CTNNA3,FCGR1A,FRZB,IL1RAPL1,IL1RL1,MMP1,MMP12,MMP3,PLCG2,VAV3	
Chromatin modifications during the maternal to zygotic transition (MZT)	4.46E00	1.88E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Synaptic Long Term Potentiation	4.42E00	8.87E-02	NaN	CAMK2A,CAMK2B,CREB5,GRIA4,GRIN2A,GRIN2B,GRM4,GRM7,PLCG2,PLCL1,PRKCB	
PRC2 methylates histones and DNA	4.23E00	1.71E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Granulocyte Adhesion and Diapedesis	4.2E00	6.86E-02	NaN	CCL26,CCL3,CCR7,CLDN1,CXCL2,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MMP1,MMP12,MMP3,XCL1	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	4.09E00	1.62E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Phagosome Formation	4.05E00	4.25E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CCR7,CHRM2,CHRM3,CHRM5,FCGR1A,FZD3,GPR179,GRM4,GRM7,HCK,HTR2C,LAT,MAPK4,MARCO,MYH13,MYH14,MYL2,P2RY14,PLCG2,PRKCB,RASGRP1,SCARA5,TACR1,TLR8,VAV3	
cAMP-mediated signaling	3.98E00	6.22E-02	NaN	CAMK2A,CAMK2B,CHRM2,CHRM3,CHRM5,CNGB1,CREB5,GRM4,GRM7,MPPED2,P2RY14,PDE11A,PDE1A,PDE4C,PDE6G	
