© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Airway Pathology in Chronic Obstructive Pulmonary Disease	4.63E00	7.02E-02	NaN	CCL2,FGF11,FGF7,IL33,IL6,PTGDS,TNFSF13B,TNFSF14	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	4.43E00	5.1E-02	NaN	AGTR1,CCL2,CCL5,COL8A1,CSF1,CYP2E1,IGFBP3,IL6,LBP,PDGFRA	
Interleukin-10 signaling	3.93E00	1.06E-01	NaN	CCL2,CCL5,CSF1,FPR1,IL6	
IL-17A Signaling in Fibroblasts	3.76E00	7.5E-02	NaN	CCL2,CCL7,ELF3,IL6,LOX,P4HA2	
Sheddase Signaling Pathway	3.57E00	4.41E-02	NaN	CCL7,ELF3,IGFBP3,IGFBP7,IL33,IL6,POSTN,TIMP3,TMPRSS2	
Pathogen Induced Cytokine Storm Signaling Pathway	3.17E00	3.11E-02	NaN	CCL2,CCL5,CCL7,COL8A1,CSF2RB,FTH1,IL33,IL6,SLC2A5,TLR7,TNFSF13B,TNFSF14	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	3.11E00	1.67E-01	NaN	CCL2,CCL5,IL6	
NAD Phosphorylation and Dephosphorylation	3.11E00	1.67E-01	NaN	ACP5,NAD ,PXYLP1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	3.05E00	3.73E-02	NaN	CTSF,CTSO,DLX5,IL33,IL6,SFRP4,SMAD6,TNFSF13B,TNFSF14	
Collagen biosynthesis and modifying enzymes	3.01E00	6.76E-02	NaN	COL14A1,COL8A1,COLGALT2,P4HA2,PLOD1	
HMGB1 Signaling	2.87E00	4.37E-02	NaN	CCL2,IL33,IL6,PLAT,RHOU,TNFSF13B,TNFSF14	
Preeclampsia Signaling Pathway	2.79E00	4.24E-02	NaN	AGTR1,ANGPTL4,GPER1,ID1,IL33,IL6,mir-210	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.57E00	5.38E-02	NaN	CCL2,CCL5,IL33,IL6,TLR7	
Bupropion Degradation	2.54E00	1.07E-01	NaN	CYP2A6,CYP2E1,CYP2J2	
LXR/RXR Activation	2.53E00	4.38E-02	NaN	CCL2,CCL7,IL33,IL6,LBP,VTN	
Estrogen Biosynthesis	2.53E00	6.9E-02	NaN	CYP2A6,CYP2E1,CYP2J2,HSD17B1	
Syndecan interactions	2.5E00	1.03E-01	NaN	SDC3,SDC4,VTN	
CGAS-STING Signaling Pathway	2.44E00	4.2E-02	NaN	CCL2,IL33,IL6,PCDH7,TNFSF13B,TNFSF14	
Macrophage Classical Activation Signaling Pathway	2.39E00	3.59E-02	NaN	CCL5,IL33,IL6,LBP,mir-210,TNFSF13B,TNFSF14	
LPS/IL-1 Mediated Inhibition of RXR Function	2.39E00	2.98E-02	NaN	ALDH1L1,CYP2A6,CYP2E1,CYP2J2,FABP3,HS6ST3,IL33,LBP,SULT4A1	
NAD Salvage Pathway II	2.37E00	9.38E-02	NaN	ACP5,NAD ,PXYLP1	
Assembly of collagen fibrils and other multimeric structures	2.35E00	6.15E-02	NaN	COL14A1,COL8A1,LOX,LOXL4	
SPINK1 Pancreatic Cancer Pathway	2.35E00	6.15E-02	NaN	CPE,CPO,CPQ,CTRC	
Wound Healing Signaling Pathway	2.33E00	3.16E-02	NaN	CCL5,COL8A1,FGF7,IL33,IL6,LAMA2,TNFSF13B,TNFSF14	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.29E00	3.9E-02	NaN	CCL5,IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Post-translational protein phosphorylation	2.27E00	4.59E-02	NaN	CSF1,IGFBP3,IGFBP7,IL6,SCG2	
Glycation Signaling Pathway	2.27E00	3.09E-02	NaN	CCL2,CSF1,CYP2E1,IL33,IL6,TNFSF13B,TNFSF14,TXNIP	
Coagulation System	2.26E00	8.57E-02	NaN	PLAT,SERPINA5,TFPI	
Granulocyte Adhesion and Diapedesis	2.26E00	3.4E-02	NaN	CCL2,CCL5,CCL7,FPR1,IL33,SDC3,SDC4	
Signaling by Retinoic Acid	2.24E00	5.71E-02	NaN	CYP26B1,NAD ,PDK4,RDH5	
Retinoid metabolism and transport	2.24E00	5.71E-02	NaN	BCO2,NAD ,SDC3,SDC4	
Interleukin-4 and Interleukin-13 signaling	2.21E00	4.42E-02	NaN	CCL2,IL6,LBP,RHOU,RORA	
Coronavirus Pathogenesis Pathway	2.21E00	3.32E-02	NaN	AGTR1,BST2,CCL2,CCL5,IL6,TLR7,TMPRSS2	
Metabolism of steroid hormones	2.19E00	5.56E-02	NaN	AKR1B1,HSD11B1,HSD17B1,NAD 	
D-glucuronate Degradation I	2.19E00	1.67E-01	NaN	AKR1B1,NAD 	
Oxidative Ethanol Degradation III	2.07E00	5.13E-02	NaN	CYP2A6,CYP2E1,CYP2J2,NAD 	
Methylglyoxal Degradation III	2.07E00	7.32E-02	NaN	AKR1B1,CYP2E1,NAD 	
Agranulocyte Adhesion and Diapedesis	2.06E00	3.11E-02	NaN	CCL2,CCL5,CCL7,CD34,IL33,MADCAM1,SDC4	
Metallothioneins bind metals	2.06E00	1.43E-01	NaN	MT1X,MT2A	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.04E00	2.62E-02	NaN	CCL2,CCL5,CSF1,IL33,IL6,JCHAIN,SFRP4,TLR7,TNFSF13B	
TREM1 Signaling	2.03E00	5E-02	NaN	CCL2,CCL7,IL6,TLR7	
Nicotine Degradation III	2.03E00	5E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
