© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interleukin-10 signaling	6.57E00	1.56E-01	NaN	CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,LIF	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	5.59E00	2.17E-01	NaN	CSF2,CSF3,CXCL1,IL1A,IL1B	
Putrescine Degradation III	5.5E00	2.08E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
Acute Phase Response Signaling	5.49E00	5.76E-02	NaN	C4BPB,CFB,CP,IL1A,IL1B,SAA1,SAA2,SAA4,SERPINA1,SERPINA3,SERPIND1	
Tryptophan Degradation X (Mammalian, via Tryptamine)	4.99E00	1.67E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
Interleukin-4 and Interleukin-13 signaling	4.85E00	7.21E-02	NaN	CD36,CXCL8,IL13RA2,IL1A,IL1B,LIF,SAA1,VCAM1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	4.65E00	5.84E-02	NaN	C5AR1,CSF2,CXCL8,IL1A,IL1B,LIF,OAS2,PTX3,TLR4	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	4.6E00	2.22E-01	NaN	CSF2,CSF3,CXCL1,IL1B	
Noradrenaline and Adrenaline Degradation	4.42E00	1.28E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
Dopamine Degradation	4.36E00	1.25E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
LXR/RXR Activation	4.35E00	6.15E-02	NaN	CD36,IL1A,IL1B,SAA1,SAA2,SAA4,SERPINA1,TLR4	
Fatty Acid α-oxidation	4.24E00	1.82E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
Atherosclerosis Signaling	4.21E00	5.88E-02	NaN	CD36,CXCL8,IL1A,IL1B,PLA2G4C,SAA4,SERPINA1,VCAM1	
Transport of vitamins, nucleosides, and related molecules	4.21E00	1.16E-01	NaN	SLC16A2,SLC28A3,SLC29A3,SLCO2A1,SLCO2B1	
Histamine Degradation	4.16E00	1.74E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
Parkinson's Signaling Pathway	4.13E00	3.8E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CACNA1D,CSF2,CXCL8,IL1A,IL1B,IL4I1,LIF,TLR4	
Xenobiotic Metabolism AHR Signaling Pathway	3.99E00	6.42E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL1A,IL1B,UGT1A1	
Ethanol Degradation IV	3.94E00	1.54E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
NOD1/2 Signaling Pathway	3.89E00	4.66E-02	NaN	ACAP1,CSF2,CXCL8,DUOX2,IL1A,IL1B,LIF,TLR4,TNFAIP3	
Irritable Bowel Syndrome Signaling Pathway	3.84E00	3.81E-02	NaN	CSF2,CSF3,CXCL1,CXCL8,IL13RA2,IL1A,IL1B,LIF,MMP24,TLR4,TNIP1	
NAD biosynthesis II (from tryptophan)	3.84E00	2.73E-01	NaN	KYNU,NMNAT2,NMNAT3	
LPS/IL-1 Mediated Inhibition of RXR Function	3.72E00	3.69E-02	NaN	ACSL5,ACSL6,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CYP2C18,IL1A,IL1B,IL4I1,TLR4	
Role of Cytokines in Mediating Communication between Immune Cells	3.69E00	9.09E-02	NaN	CSF2,CSF3,CXCL8,IL1A,IL1B	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	3.64E00	5.65E-02	NaN	AFP,CP,MELTF,PAPPA,SERPINA1,SERPIND1,TMEM132A	
G alpha (i) signalling events	3.6E00	3.88E-02	NaN	C5AR1,CXCL1,CXCL8,GPR37L1,HTR1F,PSAP,PTGER3,RGR,RGSL1,SAA1	
Hematoma Resolution Signaling Pathway	3.59E00	3.86E-02	NaN	CD36,CSF2,CXCL8,IL1A,IL1B,LIF,MMP24,NOX4,PTGER3,TLR4	
Autism Signaling Pathway	3.59E00	3.56E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CACNA1D,CSF2,CXCL8,IL1A,IL1B,LIF,SCN1A	
Serotonin Degradation	3.45E00	6.32E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1,UGT1A1	
Glycation Signaling Pathway	3.39E00	4E-02	NaN	CD36,CSF2,CXCL8,IL1A,IL1B,IRAK2,LIF,NOX4,VCAM1	
Ethanol Degradation II	3.38E00	1.11E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
Neuroinflammation Signaling Pathway	3.35E00	3.33E-02	NaN	ACVR1C,CXCL8,GABRB3,IL1B,IRAK2,KCNJ6,NOX4,PLA2G4C,SLC6A13,TLR4,VCAM1	
Oxidative Ethanol Degradation III	3.32E00	7.58E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CYP2C18	
Potassium Channels	3.26E00	5.83E-02	NaN	ABCC8,HCN4,KCNA10,KCNJ6,KCNMB3,KCNQ3	
NAD Biosynthesis III	3.25E00	5E-01	NaN	NMNAT2,NMNAT3	
Post-translational protein phosphorylation	3.18E00	5.61E-02	NaN	AFP,CP,MELTF,SERPINA1,SERPIND1,TMEM132A	
Lung Ionic Balance Signaling Pathway	3.15E00	2.68E-02	NaN	C5AR1,CALCRL,CXCL8,GPR35,GPR37L1,HCN4,HTR1F,IL1A,IL1B,KCNMB3,NOX4,PLCZ1,PTGER3,RGR	
S100 Family Signaling Pathway	3.11E00	2.3E-02	NaN	C5AR1,CACNA1D,CALCRL,CD36,CXCL8,GPR35,GPR37L1,HTR1F,IL1B,IRAK2,MMP24,NOX4,PLA2G4C,PLCZ1,PTGER3,RGR,TLR4,VCAM1	
Adrenergic Receptor Signaling Pathway (Enhanced)	3.1E00	4.04E-02	NaN	CACNA1D,CSF2,CXCL8,IL1A,IL1B,IL4I1,LIF,PLCZ1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	3.03E00	5.26E-02	NaN	CSF2,CXCL1,CXCL8,IL1A,IL1B,LIF	
Neutrophil degranulation	3.03E00	2.73E-02	NaN	AMPD3,ATP8B4,C5AR1,CD36,CEACAM1,CXCL1,PSAP,PTX3,SERPINA1,SERPINA3,SERPINB10,TCN1,VNN1	
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	3.03E00	4E-01	NaN	NMNAT2,NMNAT3	
NAD Salvage Pathway III	3.03E00	4E-01	NaN	NMNAT2,NMNAT3	
