© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL1A	cytokine	2.29E-14	ADAMTS4,ALDH1A1,ALDH1A3,CSF2,CSF3,CXCL1,CXCL8,DUOX2,IL13RA2,IL1A,IL1B,LIF,PDZK1IP1,PTGES,PTX3,SAA1,SAA2,SEMA3E,SERPINA1,SERPINA3,TLR4,TNFAIP3,VCAM1	73 (13)
IL1B	cytokine	3.22E-12	ADAMTS4,AMPD3,BMP2,CFB,CP,CSF2,CSF3,CXCL1,CXCL8,DAAM2,DUOX2,EHF,EPAS1,GSDMB,IKZF3,IL13RA2,IL1A,IL1B,IL4I1,IRAK2,KYNU,LAMC2,LIF,OAS2,PAPPA,PTGES,PTX3,SAA1,SAA2,SAA4,SEMA3E,SERPINA1,SERPINA3,SLC3A1,THBD,TLR4,TMEM132A,TNFAIP3,TNIP1,UGT1A1,VCAM1	74 (13)
IL1 (family)	group	9.31E-11	ADAMTS4,BMP2,CEACAM1,CFB,CP,CSF2,CSF3,CXCL1,CXCL8,IL1B,KYNU,LIF,SAA1,SAA2,SAA4,SHBG,THBD,TLR4,TNFAIP3,VCAM1	70 (14)
HBB	enzyme	1.34E-10	CFB,CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,LIF,OAS2,TLR4,TNFAIP3,VCAM1	71 (16)
TNF	cytokine	1.75E-10	ACSL5,ADAMTS4,ALDH1A3,ALDH2,AMPD3,BMP2,C5AR1,C6orf58,CD28,CD36,CEACAM1,CFB,CHI3L2,CP,CSF2,CSF3,CXCL1,CXCL8,DHRS3,EHF,FAT2,GSDMB,IL13RA2,IL1A,IL1B,IL4I1,IRAK2,KYNU,LAMC2,LIF,MYO5C,NOX4,OAS2,PAPPA,PLA2G4C,PTGES,PTX3,SAA1,SAA2,SBSN,SERPINA1,SERPINA3,SERPINB10,SERPIND1,SHBG,SLC16A2,SLCO2B1,THBD,TLR4,TNFAIP3,TNFRSF8,TNIP1,VCAM1	77 (13)
STAT3	transcription regulator	1.22E-09	ALDH1A1,ALDH1A3,AMPD3,ARRDC4,BMP2,C5AR1,CEACAM1,CFB,CP,CSF2,CSF3,CXCL8,EPAS1,IKZF3,IL13RA2,IL1A,IL1B,LIF,NOX4,NOX5,OAS2,PTX3,SAA1,SERPINA1,SERPINA3,THBD,TLR4,TNFRSF8,VTCN1	78 (14)
IL37	cytokine	1.29E-09	BMP2,CSF2,CSF3,CXCL8,IL1A,IL1B,VCAM1	57 (15)
NFKB1	transcription regulator	1.87E-09	ADAMTS4,BMP2,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,EPAS1,IL1A,IL1B,NOX5,POU2F2,PTGER3,PTX3,TNFAIP3,TNIP1,VCAM1	58 (14)
NFKB (complex)	complex	2.03E-09	ALDH1A3,BMP2,CD36,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,EPAS1,IL13RA2,IL1A,IL1B,KYNU,LIF,POU2F2,PTGES,PTX3,SAA1,SERPINA3,SLC3A1,TLR4,TNFAIP3,TNIP1,VCAM1	71 (15)
erlotinib	chemical drug	2.50E-09	CD36,CSF2,CSF3,CXCL1,CXCL8,IL13RA2,IL1A,IL1B,LIF,NOX4,NOX5,TLR4	77 (16)
PELP1	other	6.29E-09	ADA,BMP2,CSF2,CSF3,CXCL1,CXCL8,IL13RA2,IL1A,IL1B,KYNU,PTGES,SAA1	80 (19)
OSM	cytokine	6.35E-09	ABCC8,ACSL5,ADAMTS4,AFP,AMPD3,ANXA3,CFB,CHI3L2,CSF2,CSF3,CXCL1,CXCL8,DHRS3,IL1B,LIF,PDZK1IP1,PTGES,SAA1,SERPINA1,SERPINA3,TCN1,UGT1A1,VCAM1	84 (17)
CHD1	enzyme	8.21E-09	BMP2,CSF2,CXCL1,IL1A,IL1B,LIF	 
NFKBIE	transcription regulator	1.34E-08	CSF2,CSF3,CXCL8,LIF,VCAM1	50 (10)
di(2-ethylhexyl) phthalate	chemical toxicant	1.46E-08	CD36,CEACAM1,CSF2,CXCL1,CXCL8,IL1B,IRAK2,SLCO2A1,SLCO2B1	54 (12)
dexamethasone	chemical drug	1.53E-08	ABCC8,ADAM28,ADAMTS4,AFP,ALDH1A1,ALDH2,AMPD3,ANXA3,BMP2,C5AR1,CD36,CEACAM1,CFB,COL9A2,CP,CPA4,CSF2,CXCL1,CXCL8,EHF,EPAS1,FLRT2,GIMAP5,IL13RA2,IL1A,IL1B,LIF,MELTF,MFAP5,NEBL,NMNAT2,PCSK5,PSAP,PTGES,PTX3,SAA1,SAA2,SAA4,SDS,SERPINA1,SERPINA3,SHBG,SLCO2A1,SLCO2B1,STRA6,THBD,TLR4,TNFAIP3,UGT1A1,VCAM1,VNN1	80 (12)
RELA	transcription regulator	1.55E-08	ADAMTS4,AFP,BMP2,CD28,CFB,CSF2,CXCL1,CXCL8,EHF,EPAS1,IL1A,IL1B,NOX5,PTGES,PTX3,SAA2,SHBG,TNFAIP3,TNIP1,UGT1A1,VCAM1	69 (14)
tetradecanoylphorbol acetate	chemical drug	1.59E-08	ADAM28,ADAMTS4,ALDH1A3,BMP2,C10orf90,C5AR1,CALCRL,CD28,CD36,CSF2,CSF3,CXCL1,CXCL8,GPR35,GSDMB,IKZF3,IL1A,IL1B,IL4I1,LIF,MYOZ2,POU2F2,PTGES,PTX3,SBSN,SERPINA1,SERPINA3,SERPINB10,SLC28A3,TLR4,TNFAIP3,TNFRSF8,VCAM1,ZPBP2	73 (13)
NFKB1-RELA (complex)	complex	1.97E-08	ADAMTS4,CSF2,CSF3,CXCL1,CXCL8,DUOX2,IL1B,VCAM1	33 (3)
Pam3-Cys-Ser-Lys4	chemical reagent	2.21E-08	ALDH1A2,CHI3L2,CSF2,CSF3,CXCL1,CXCL8,GLRX,IL1A,IL1B,IRAK2,PTGES,TLR4,TNFAIP3,VCAM1	59 (15)
tripterine	chemical - endogenous non-mammalian	2.30E-08	CFB,CXCL1,CXCL8,IL1B,PDZK1IP1,TLR4,TNFAIP3,VCAM1	50 (12)
TGFB1	growth factor	4.20E-08	ACSL6,ADAMTS4,AFP,ALDH1A1,ALDH1A3,ALDH2,BMP2,C4BPB,C5AR1,CD28,CD36,CFB,CHI3L2,CORIN,CSF2,CXCL1,CXCL8,IKZF3,IL13RA2,IL1A,IL1B,IRAK2,ITGA7,KCNQ3,KLRC1,LAMC2,LIF,MEG3,MELTF,NMNAT2,NOX4,PAPPA,PDZK1IP1,PTGES,PTX3,SERPINA1,SERPINA3,SERPINB10,SLC16A2,SVEP1,THBD,TLR4,TNFAIP3,TNNT2,TRIM9,VCAM1	83 (13)
IL36A	cytokine	5.69E-08	CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B	55 (14)
IKBKG	kinase	6.24E-08	AMPD3,BMP2,CP,CSF2,CXCL8,EPAS1,IL1A,IL1B,PTX3,SLC16A2,TNFAIP3	56 (15)
poly rI:rC-RNA	biologic drug	7.22E-08	ABI3BP,BMP2,CD36,CEACAM1,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,IL13RA2,IL1A,IL1B,IL4I1,IRAK2,KYNU,LIF,OAS2,PLA2G4C,SBSN,SIDT1,SLFN5,THBD,TLR4,TNFAIP3,TNIP1,VCAM1	80 (15)
lipopolysaccharide	chemical drug	7.35E-08	ADA,ADAMTS4,ALDH1A2,ALDH2,AMPD3,ANXA3,ARVCF,BMP2,C5AR1,CACNA1D,CALCRL,CCIN,CD28,CD36,CEACAM1,CFB,CP,CSF2,CSF3,CXCL1,CXCL8,EHF,EPAS1,FDCSP,GCKR,GLRX,GPR35,GSDMB,IKZF3,IL13RA2,IL1A,IL1B,IL4I1,IRAK2,KYNU,LIF,MELTF,NOX4,OAS2,POU2F2,PTGES,PTX3,RPTN,SAA1,SAA2,SAA4,SERPINA1,SERPINA3,SLC16A2,SLCO2A1,THBD,TLR4,TNFAIP3,TNIP1,TNNT2,VCAM1	87 (12)
CHUK	kinase	8.54E-08	AMPD3,BMP2,CP,CSF2,CXCL8,IL1A,IL1B,MFAP5,PTX3,SLC16A2,TNFAIP3,TNIP1,VCAM1	51 (14)
MFGE8	other	8.73E-08	CSF2,CXCL1,CXCL8,IL1B,LIF,TNFAIP3,VCAM1	58 (14)
IL10	cytokine	9.22E-08	BMP2,CD28,CD36,CEACAM1,CHI3L2,CSF2,CSF3,CXCL8,EHF,FLRT2,IL13RA2,IL1A,IL1B,LIF,PSAP,PTX3,TLR4,VCAM1,VTCN1	62 (14)
TCIM	other	2.15E-07	CXCL1,CXCL8,IL1A,VCAM1	49 (8)
IL13	cytokine	2.26E-07	ADA,ADAM21,ADAM28,ADAMTS4,ALDH1A2,CD36,CP,CXCL1,CXCL8,EPAS1,IL13RA2,IL1B,MIR99AHG,PTGES,RAB33A,SBSN,TLR4,VCAM1,VNN1	75 (22)
