© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
E2F4	transcription regulator	3.08E-96	ANLN,ASF1B,AURKB,BARD1,BCL2,BLM,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CDC25A,CDC25C,CDC45,CDC6,CDCA3,CDCA4,CDK1,CDK2,CDKN2C,CENPA,CENPE,CENPO,CKS1B,CKS2,DBF4,DDX11,DHFR,E2F1,E2F2,E2F8,ECT2,EXO1,FANCD2,FEN1,FOXM1,GINS1,GMNN,H2AX,H2AZ1,HMGB1,HMGB3,HMMR,INCENP,ITGB3BP,KIF22,KIF4A,MAD2L1,MCM10,MCM3,MCM4,MCM5,MCM6,MKI67,MYB,MYBL2,NDC80,NEK2,OIP5,ORC1,PCLAF,PCNA,PLK1,POLA1,POLA2,PRC1,PTTG1,RAD51,RAD51AP1,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC2,SMC4,STMN1,TCF19,TK1,TMPO,TOP2A,TP73,TPX2,TTF2,TTK,TYMS,UBE2C,UBE2T,UHRF1,WDR76,ZWINT	217 (10)
Eldr	other	2.11E-89	ANLN,ASPM,AURKA,AURKB,BIRC5,BLM,BRCA1,BUB1,CCNA2,CCNB1,CDC25C,CDCA5,CDK1,CENPA,CENPF,CEP55,CLSPN,DEPDC1,DLGAP5,ESPL1,FAM72B,FAM83D,FOXM1,GTSE1,HJURP,HMMR,IQGAP3,KIF11,KIF14,KIF18B,KIF20A,KIF23,KIF2C,KIF4A,MKI67,MYBL2,NCAPG,NEIL3,NEK2,ORC1,PIF1,PLK1,PLK4,PTTG1,SPAG5,SPC25,TACC3,TICRR,TOP2A,TPX2,TTK,UBE2C,ZWINT	 
l-asparaginase	biologic drug	3.56E-85	AURKA,AURKB,BARD1,BIRC5,BUB1,BUB1B,CCNA2,CCNB2,CCNE2,CDC25C,CDC6,CDC7,CDCA5,CDK1,CENPA,CENPF,CENPH,CENPM,CENPN,CLSPN,DSN1,ERCC6L,EXO1,FANCD2,FANCI,GINS2,INCENP,KIF11,KIF15,KIF18B,KIF20B,KIF22,KIF2C,KIF4A,KNL1,KNTC1,LIG1,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM6,MYBL2,NCAPD2,NCAPG,NCAPH,NDC80,NUF2,OIP5,ORC1,PKMYT1,PLK1,PLK4,POLE2,PRIM1,RAD51,RAD51AP1,RBL1,RMI2,SGO1,SMC2,SPC25,SPDL1,TOP2A,UBE2C	 
PPARD	ligand-dependent nuclear receptor	2.17E-74	AURKB,BARD1,BCL2,BIRC5,BLM,BRIP1,BUB1B,CCNA2,CCNB1,CCNB2,CDC20,CDC25B,CDC45,CDC7,CDK1,CDK2,CDT1,CENPF,CENPI,CENPK,CENPU,CENPW,CHTF18,CNTRL,DBF4,DCLRE1B,DHFR,DNA2,ESCO2,ESPL1,FANCA,FANCD2,FANCE,FANCI,FBXO5,FOXM1,GEN1,GINS1,GINS4,GMNN,H2AX,H2AZ1,HJURP,INCENP,KIF20A,KNTC1,KPNA2,LIG1,LMNB1,MAD2L1,MAD2L2,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MIS18A,NCAPD2,NCAPD3,NCAPG,NCAPH,NDC80,NEIL3,NSD2,NUF2,PARPBP,PCNA,PEG10,PIF1,PKMYT1,PLK1,PLK4,POLA1,POLQ,RBL1,RFC3,RMI2,RRM2,SGO1,SGO2,SMC2,SMC4,TIMELESS,TK1,TMPO,TOP2A,TPX2,TUB,UBE2C,UBE2S,UBE2T,USP1,XRCC2,XRCC3,ZWINT	261 (16)
TBX3	transcription regulator	4.34E-74	ANLN,ASPM,AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25B,CDC45,CDC6,CDC7,CDCA2,CDCA3,CDCA8,CDK1,CDK2,CENPE,CEP55,CKS2,DHFR,E2F8,ECT2,ESPL1,FBXO5,FOSL1,FOXM1,GJC1,H2AX,IRS1,KIF11,KIF14,KIF15,KIF20A,KIF23,KIF2C,KIF4A,MAD2L1,MCM2,MCM3,MCM5,MCM7,MKI67,NCAPH,NEK2,NUF2,PBK,PCNA,PLK1,PLK4,PRC1,PTTG1,RAD51AP1,RBL1,RNASEH2A,RRM1,RRM2,SGO2,SLC8A1,SMC2,STMN1,TK1,TOP2A,TPX2,TRIP13,TTK,TYMS,UBE2C,ZWINT	 
CDKN1A	kinase	2.33E-65	ANLN,ASPM,ATAD2,AURKA,AURKB,BCL2,BIRC5,BRCA1,BUB1,BUB1B,CCNA2,CCNB1,CDC20,CDC25A,CDC25B,CDC25C,CDC6,CDK1,CDKN3,CENPF,CEP55,CHAF1B,CIT,CKS1B,DLGAP5,DTL,E2F1,E2F2,EXO1,FANCG,FANCI,FOXM1,FST,H2AX,H2AZ1,HJURP,HMGB2,KIF20A,KIF2C,KNSTRN,KNTC1,LBR,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MKI67,MYBL2,NCAPD3,NUSAP1,ORC1,PBK,PCLAF,PCNA,PLK1,PRC1,RACGAP1,RAD51,RBL1,RFC4,RRM1,SMC2,SMC4,SPAG5,SPDL1,STMN1,SUV39H1,TOP2A,TPX2,TTK,TYMS,UBE2C,UBE2S,UBE2T,UHRF1,WDHD1	226 (12)
CEBPB	transcription regulator	8.67E-63	ASF1B,ATAD2,AURKA,AURKB,BARD1,BCL2,BIRC5,BRCA1,BRCA2,BUB1B,CCNA2,CCNB2,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDCA3,CDCA8,CDK1,CDKN2C,CDKN3,CDT1,CENPE,CENPM,CIT,CSF1R,CYP24A1,DDX39A,DEK,DEPDC1,DHFR,DIAPH3,DLGAP5,DSCC1,E2F1,E2F8,ESPL1,EZH2,GINS1,GINS4,H2AX,HELLS,HMGB2,HMMR,IRS1,JPT1,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LIG1,LMNB1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MMS22L,MXD3,MYBL2,NCAPD2,NRG1,ODC1,PCNA,PLK1,POLA2,PSMC3IP,PTHLH,RACGAP1,RAD51AP1,RANBP1,RFC2,RFC3,RNASEH2A,RRM2,SHMT1,SMC4,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,UBE2S,USP1,WT1	250 (19)
aflatoxin B1	chemical - endogenous non-mammalian	1.05E-61	ASF1B,ASPM,AURKB,BARD1,BRCA2,BUB1,CCNA2,CCNE2,CDC6,CDCA2,CDK1,CDKN2C,CDKN3,CENPA,CENPE,CENPF,CEP55,CHAF1B,CKAP2,CLSPN,DLGAP5,DSN1,E2F1,ECT2,ESPL1,FAM83D,FANCD2,FBXO5,GTSE1,HMMR,INCENP,IQGAP3,KIF11,KIF15,KIF20A,KIF23,KIFC1,KNL1,KNTC1,MAD2L1,MCM3,MCM5,MCM6,MCM8,MELK,MND1,MYBL1,MYBL2,NCAPH,NDC80,NRG1,NUF2,NUSAP1,PBK,PCLAF,PLK1,PRC1,PTTG1,RACGAP1,RAD51,RBL1,SMC2,SMC4,SPAG5,SPC25,STMN1,TACC3,TOP2A,TPX2,TTK,TYMS,UBE2C,UBE2T	 
CKAP2L	other	1.57E-57	AURKB,BIRC5,BUB1,CCNB1,CCNB2,CDC20,CDCA8,CDK1,CENPA,CENPE,CENPF,CENPH,ERCC6L,ESPL1,FBXO5,H2AZ2,KIF20A,KIF23,KIF2C,LMNB1,MAD2L1,NCAPD2,NCAPG,NCAPH,NDC80,NEK2,NUF2,PLK1,PLK4,PTTG1,SGO1,SGO2,SKA1,SPC24,SPC25,SPDL1,TMPO,UBE2C,ZWINT	 
RB1	transcription regulator	1.61E-54	ARHGAP11A,ASF1B,ATAD2,AURKB,BARD1,BCL2,BIRC5,BLM,BRCA1,BUB1,CCNA2,CCNB1,CCNE2,CDC25A,CDC25C,CDC6,CDCA4,CDCA5,CDK1,CDK2,CDT1,CENPK,CHAF1A,DDX11,DEK,DEPDC1,DHFR,DLGAP5,DONSON,E2F1,E2F2,EZH2,F3,FAM111A,FANCA,FBXO5,FEN1,FOSL1,FST,GMNN,GPR19,H1-5,H2AX,HMGB2,KIF20A,LIG1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MELK,MYB,MYBL2,NUSAP1,ORC1,PBK,PCLAF,PCNA,PEG10,PLK1,PRR11,PTTG1,RAD51,RAD51AP1,RANBP1,RBL1,RECQL4,RFC3,RFC4,RMI1,RRM1,RRM2,SPC24,TCF19,TMEM97,TMPO,TP73,TTK,TYMS,UBE2C	220 (14)
