© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
AURK (family)	group	2.06E-19	ACER2,AEN,BTG2,CDKN1A,DNAI3,EDA2R,FDXR,INKA2,INSYN2A,MYH16,PDE2A,PRAG1,SPATA18,STOM,TYMSOS,VWCE,ZNF79	 
ANLN	other	2.06E-19	ACER2,AEN,BTG2,CDKN1A,DNAI3,EDA2R,FDXR,INKA2,INSYN2A,MYH16,PDE2A,PRAG1,SPATA18,STOM,TYMSOS,VWCE,ZNF79	 
PG3-Oc	chemical reagent	4.58E-09	ACER2,ATF3,CDKN1A,DDB2,GDF15,JAG1,PMAIP1,PRDM1	 
AGT	growth factor	4.34E-07	ADIPOQ,ADORA2B,AREG,ATF3,ATP2A1,ATP2B2,BTK,C1QTNF7,CACNA1C,CCN3,CDKN1A,CEL,CR1,CSPG4,CYBB,DDIT3,EDNRA,FDXR,GCH1,GDF15,HGF,JAG1,KITLG,NGF,NOTCH4,PGF,PLAC8,PPARGC1A,RASGRF1,SEMA4D,SLC12A1,SLC5A1,SMOC1,SPINK1,TNFRSF1B,TTN,UCP2,VIP,WIPF3	155 (18)
mitomycin C	chemical drug	2.03E-06	ATF3,BTG2,CDKN1A,DDB2,DDIT3,FDXR,GDF15,HGF,PMAIP1	124 (11)
TP53	transcription regulator	3.86E-06	ACER2,ACSS1,ADORA2B,AEN,AREG,ATF3,BMX,BTG2,BTK,CDH3,CDKN1A,CEL,COL7A1,DDB2,DDIT3,DINOL,DNAI3,EDA2R,EDNRA,FDXR,FXYD3,GDF15,GPR87,HERC5,HGF,HHIP,IFI30,INHBA,INKA2,INSYN2A,IRAG2,JAG1,KITLG,LOC124900602,MMP23B,MYH16,NINJ2,NPFFR2,PDE2A,PMAIP1,PPARGC1A,PRAG1,PRDM1,PTCHD4,PTPRU,RND3,SFN,SHROOM3,SPATA18,SPHK1,ST14,STOM,TEX15,TFPI2,THBS4,TNFRSF1B,TTN,TYMSOS,UPP1,VWCE,WNT2,WNT9A,ZNF79	118 (15)
forskolin	chemical toxicant	4.80E-06	ACER2,ADIPOQ,AREG,ATF3,BTG2,CDKN1A,CYP11A1,DDIT3,DUOX1,ERFE,ESR2,FDXR,GCH1,HHIP,INHBA,KITLG,MMP23B,NGF,OSTN,PMAIP1,PPARGC1A,SLC15A1,STOM,TFPI2,UCN2,UCP2,UPP1,VIP	135 (19)
decitabine	chemical drug	6.87E-06	ADCY5,CADM1,CDH3,CDKN1A,COL7A1,CYP11A1,CYP3A4,DNASE1L3,EDA2R,ESR2,FDXR,FOLH1,GCK,GDF15,GPC3,HCK,INSM2,IPCEF1,JAG1,NFASC,NPFFR2,OSTN,RIMS2,RTP4,SEZ6L,SFN,SLC15A1,ST14,TDRD9,TFPI2,TMEFF2,TNFRSF1B,TRIM55	98 (5)
MED1	transcription regulator	7.57E-06	ADAMTS18,ADCY5,ADIPOQ,CDKN1A,CYP11A1,GCK,HGF,LY6D,MPP7,MYH16,MYO18B,NR1I3,PRDM1,PRLR	27 (3)
CDK19	kinase	9.54E-06	AEN,ATF3,BTG2,CDKN1A,DDB2,FDXR,SFN,SPHK1,STOM,UPP1	54 (5)
