© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Protein Kinase A Signaling	8.13E00	8.08E-02	NaN	ADCY2,CAMK2A,CAMK2B,CNGB1,CNGB3,CREB5,DCC,DUSP5,EBI3,EYA2,GNG4,H1-0,H1-2,MPPED2,MYL2,NFATC2,NGFR,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G,PLCG2,PLCL1,PRKAR1B,PRKCB,PTPN5,PTPRC,PTPRD,PTPRQ,PTPRT,RYR1	
cAMP-mediated signaling	6.07E00	8.71E-02	NaN	ADCY2,ADRB2,CAMK1G,CAMK2A,CAMK2B,CHRM2,CHRM3,CHRM5,CNGB1,CNGB3,CREB5,GRM4,GRM7,MPPED2,P2RY14,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G,PRKAR1B	
G-Protein Coupled Receptor Signaling	6.07E00	5.75E-02	NaN	ADCY2,ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CAMK2A,CAMK2B,CCRL2,CHRM2,CHRM3,CHRM5,CNGB1,CNGB3,CREB5,EYA2,GNG4,GPR156,GPR179,GRM4,GRM7,HTR2C,KCNN3,LGR5,MPPED2,MYL2,NFATC2,P2RY14,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G,PLCG2,PRKAR1B,PRKCB,PTAFR,RASGRP1,RXFP1,TACR1	
CREB Signaling in Neurons	5.98E00	6.01E-02	NaN	ADCY2,ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CCRL2,CHRM2,CHRM3,CHRM5,CREB5,GNG4,GPR156,GPR179,GRIA4,GRID2,GRIN2B,GRM4,GRM7,HTR2C,LGR5,NGFR,NTRK3,P2RY14,PLCG2,PLCL1,PRKAR1B,PRKCB,PTAFR,RXFP1,TACR1,TGFA	
Collagen chain trimerization	5.93E00	2.05E-01	NaN	COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1	
Wound Healing Signaling Pathway	5.84E00	8.43E-02	NaN	COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1,HBEGF,IL12A,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,LAMB3,NGFR,TGFA,TNFSF15,TNFSF8	
Neuropathic Pain Signaling in Dorsal Horn Neurons	5.83E00	1.29E-01	NaN	CAMK1G,CAMK2A,CAMK2B,GRIA4,GRIN2B,GRM4,GRM7,KCNN3,PLCG2,PLCL1,PRKAR1B,PRKCB,TACR1	
Pathogen Induced Cytokine Storm Signaling Pathway	5.81E00	7.07E-02	NaN	CCL26,CCL3,COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1,CXCL2,IL12A,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,MAPK4,NGFR,NLRP10,NOD2,RYR1,TLR8,TNFSF15,TNFSF8,XCL1	
Calcium Signaling	5.56E00	8.72E-02	NaN	CACNA1E,CACNA2D3,CAMK1G,CAMK2A,CAMK2B,CHRM5,CREB5,GRIA4,GRIN2B,HDAC9,MYH13,MYH14,MYL2,NFATC2,PRKAR1B,RYR1,TRDN,TRPC4,TRPC5	
GP6 Signaling Pathway	5.38E00	1.09E-01	NaN	COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1,LAMB3,LAMC3,LAT,PLCG2,PRKCB	
Cellular Effects of Sildenafil (Viagra)	5.31E00	5.55E-02	NaN	ADCY2,ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CACNA1E,CACNA2D3,CCRL2,CHRM2,CHRM3,CHRM5,CNGB1,CNGB3,CREB5,GNG4,GPR156,GPR179,GRM4,GRM7,HTR2C,KCNN3,LGR5,MAPK4,MYH13,MYH14,MYL2,NFATC2,P2RY14,PDE3B,PDE6G,PPARG,PRKAR1B,PRKG2,PTAFR,RXFP1,TACR1	
Synaptogenesis Signaling Pathway	5.25E00	7.28E-02	NaN	ADCY2,CAMK2A,CAMK2B,CDH10,CDH12,CDH4,CNTNAP2,CREB5,EPHA7,GRIA4,GRIN2B,GRM4,GRM7,KALRN,MAPT,NRXN1,PLCG2,PRKAR1B,RASGRP1,RELN,SYT11,SYT16,UNC13A	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	5.13E00	8.85E-02	NaN	COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1,IGFBP5,IL1RAPL1,IL1RL1,MYH13,MYH14,MYL2,NGFR,TGFA	
Replacement of protamines by nucleosomes in the male pronucleus	4.5E00	1.89E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5,H4C14,H4C8	
Collagen biosynthesis and modifying enzymes	4.37E00	1.34E-01	NaN	COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	4.25E00	6.62E-02	NaN	ADAM7,BIRC3,COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1,CREB5,CTNNA3,FCGR1A,FRZB,IL1RAPL1,IL1RL1,MMP12,MMP3,NGFR,PLCG2	
Extracellular matrix organization	4.11E00	1.03E-01	NaN	COL11A1,COL4A6,COL6A6,COL9A1,HAPLN1,ITGA8,LAMB3,LAMC3,MUSK,NRXN1,TNN	
Assembly of collagen fibrils and other multimeric structures	3.87E00	1.31E-01	NaN	COL11A1,COL24A1,COL4A6,COL6A6,COL9A1,CTSS,LAMB3,MMP3	
Adrenergic Receptor Signaling Pathway (Enhanced)	3.82E00	7.58E-02	NaN	ADCY2,ADRB2,CACNA1E,CACNA2D3,DDC,IL12A,IL36G,MAOA,MAOB,PLCG2,PLCL1,PRKAR1B,PRKCB,TNFSF15,TNFSF8	
Serotonin Receptor Signaling	3.8E00	5.53E-02	NaN	ADCY2,ADRB2,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CREB5,DDC,GNG4,HTR2C,IL12A,IL1RL1,KALRN,KCNN3,MAOA,MAOB,MAPT,MYL2,NPPB,PLCG2,PLCL1,PRKAR1B,PRKCB,RYR1,TRPC4,TRPC5	
S100 Family Signaling Pathway	3.73E00	4.73E-02	NaN	ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CCL3,CCRL2,CHRM2,CHRM3,CHRM5,CREB5,FCGR1A,GPR156,GPR179,GRM4,GRM7,HBEGF,HTR2C,LGR5,MAPK4,MMP12,MMP3,NCF2,P2RY14,PLCG2,PLCL1,PRKAR1B,PRKCB,PTAFR,RXFP1,TACR1,TGFA	
Hepatic Cholestasis	3.72E00	7.11E-02	NaN	ADCY2,CYP3A5,CYP3A7,HNF4A,IL12A,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,NGFR,NR5A2,PRKAR1B,PRKCB,TNFSF15,TNFSF8	
Glutaminergic Receptor Signaling Pathway (Enhanced)	3.63E00	6.13E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CREB5,GABRA2,GABRB2,GABRG1,GRIA4,GRIN2B,GRM4,GRM7,KCNK3,PLCG2,PLCL1,PRKAR1B,PRKCB,SCN3A,SCN4B	
Cardiac Hypertrophy Signaling (Enhanced)	3.62E00	5.21E-02	NaN	ADCY2,ADRB2,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,GNG4,HDAC9,IL12A,IL1RL1,IL36G,ITGA8,MPPED2,NFATC2,NGFR,NPPB,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G,PLCG2,PLCL1,PRKAR1B,PRKCB,RYR1,TNFSF15,TNFSF8	
Phagosome Formation	3.62E00	4.82E-02	NaN	ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CCRL2,CHRM2,CHRM3,CHRM5,FCGR1A,GPR156,GPR179,GRM4,GRM7,HTR2C,ITGA8,LAT,LGR5,MAPK4,MARCO,MSR1,MYH13,MYH14,MYL2,P2RY14,PLCG2,PRKCB,PTAFR,RASGRP1,RXFP1,SCARA5,TACR1,TLR8	
Synaptic Long Term Potentiation	3.53E00	8.87E-02	NaN	CAMK2A,CAMK2B,CREB5,GRIA4,GRIN2B,GRM4,GRM7,PLCG2,PLCL1,PRKAR1B,PRKCB	
Gustation Pathway	3.52E00	7.11E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CHRM3,GABRA2,GABRB2,GABRG1,KCNN3,LIPF,P2RY14,PDE3B,PRKAR1B,SCN3A,SCN4B,TAS2R1	
Sleep REM Signaling Pathway	3.48E00	9.43E-02	NaN	CHRM2,CHRM3,CHRM5,CREB5,IL12A,IL36G,NGFR,PRKAR1B,TNFSF15,TNFSF8	
Lung Ionic Balance Signaling Pathway	3.46E00	5.17E-02	NaN	ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CCRL2,CHRM2,CHRM3,CHRM5,CLCA2,CNGB1,CNGB3,GPR156,GPR179,GRM4,GRM7,HTR2C,LGR5,P2RY14,PLCG2,PLCL1,PRKAR1B,PRKCB,PTAFR,RXFP1,TACR1	
DNA methylation	3.39E00	1.92E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Tuberculosis Latent Signaling Pathway	3.37E00	1E-01	NaN	ABCA4,ADCY2,LRP2,NGFR,OLR1,PRKAR1B,TNFSF15,TNFSF8,TRAF1	
DNA Damage/Telomere Stress Induced Senescence	3.32E00	1.25E-01	NaN	H1-0,H1-2,H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Netrin Signaling	3.31E00	7.43E-02	NaN	ABLIM1,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,DCC,DPYSL5,NFATC2,PLCG2,PRKAR1B,PRKCB,RYR1,UNC5D	
Acetylcholine Receptor Signaling Pathway	3.3E00	7.07E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CHRM2,CHRM3,CHRM5,CREB5,NGFR,PLCG2,PLCL1,PRKAR1B,PRKCB	
Circadian Rhythm Signaling	3.3E00	6.3E-02	NaN	ADCY2,ADCYAP1R1,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CREB5,GNG4,GRIA4,GRIN2B,NGFR,PLCG2,PLCL1,PRKAR1B,PRKCB,PRKG2,RYR1	
Agranulocyte Adhesion and Diapedesis	3.25E00	6.7E-02	NaN	AOC3,CCL26,CCL3,CCRL2,CLDN1,CXCL2,IL1RN,IL36G,IL36RN,MMP12,MMP3,MYH13,MYH14,MYL2,XCL1	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	3.23E00	1.79E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Granulocyte Adhesion and Diapedesis	3.18E00	6.86E-02	NaN	CCL26,CCL3,CCRL2,CLDN1,CXCL2,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,MMP12,MMP3,NGFR,XCL1	
SIRT1 negatively regulates rRNA expression	3.16E00	1.72E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
SNARE Signaling Pathway	3.14E00	7.97E-02	NaN	ADCY2,CAMK2A,CAMK2B,MYH13,MYH14,MYL2,PRKAR1B,RAB39A,SYT11,SYT16,UNC13A	
