© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
TGFB1	growth factor	1.20E-24	ACTC1,ACTG2,AKR1C2,ANGPT1,APLN,ARID5B,ARNT2,BDKRB2,BMF,C1R,C1S,CARMN,CCL5,CCN4,CCN5,CDH11,CEBPD,CEMIP,CFH,CFI,CHI3L1,CLEC2D,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL6A1,COL6A2,CPQ,DBP,DCN,DDIT4,DKK3,DPYSL3,DUSP2,EMILIN1,F2RL1,FAP,FBN1,FHL1,FILIP1L,FN1,FSCN1,GAS1,GJA1,GLDN,HAS1,HSD17B6,HTRA1,ID2,IGFBP4,ITGA11,KRT18,LDHA,LOXL1,LTBP1,MFAP4,MMP11,NNMT,P4HA1,PDGFRB,PDK1,PDPN,PECAM1,PTGS2,PTPRN,RECK,S100A4,SERPINE1,SERPINE2,SERPINH1,SLIT3,SMAD6,SNAI1,SOD3,SPARC,SPEG,SPRY1,STAT5A,SYTL2,TAGLN,TCF7L1,TGFB1I1,TGFB2,TGFB3,TGFBI,THBS1,THBS2,TIMP3,TNC,TNFAIP6,TNFRSF11B,TNFSF10,TPM2,TSC22D3,VCAN,WNT10B,ZFP36	207 (23)
AHR	ligand-dependent nuclear receptor	6.72E-22	ADGRE1,AFMID,AKR1C2,ANGPT1,ARNT2,BDKRB2,CCL5,CCN5,CDON,CEBPD,CHI3L1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,DCN,EFEMP1,EGLN3,EMILIN1,F2RL1,FBN1,FN1,GAS1,GAS6,GPAM,ITGA11,LDHA,LTBP1,NNMT,NRP2,PDE5A,PDGFD,PDGFRB,PTGS2,RGS2,SERPINE1,SMAD6,SNAI1,SPRY1,SYT7,TGFB2,TGFB3,TGFBI,THBS1,THBS2,TIMP3	167 (18)
ARID1A	transcription regulator	7.55E-22	APLN,ARID5B,BDKRB2,C4A,CA9,CCDC80,CCN4,CCN5,COL1A1,COL1A2,COL5A1,DPYSL3,EDIL3,FBN1,FHL1,FN1,FSCN1,GAS1,HAS1,HTRA1,ID2,ITGB8,KRT18,NNMT,P3H3,P4HA1,PDGFRB,PIK3IP1,PLXND1,PTGFRN,S100A4,SMAD6,SNAI1,SOD3,SPRY1,TAGLN,TGFB3,THBS1,THBS2,TIMP3,TNC,TNFRSF11B,VASN,WNT2B,ZFP36	166 (21)
AGT	growth factor	1.98E-21	ACTC1,ADGRE1,ANGPT1,APLN,BDKRB2,BHLHE41,CACNA2D1,CBS,CCDC80,CCL5,CCN4,CCN5,CFI,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,CTHRC1,DKK3,EFEMP1,FHL1,FN1,GAS6,GJA1,GLDN,GPC6,IGFBP4,ITGA10,ITGB8,LDB3,LOXL1,LTBP1,LUM,MAP2,MFAP4,MMP11,PDGFD,PDGFRB,PDGFRL,PECAM1,PLXND1,PTGS2,RGS2,SELL,SERPINE1,SERPINE2,SGCD,SLIT3,SOD3,SPARC,SPRY1,TGFB1I1,TGFB2,TGFB3,TGFBI,THBS1,THBS2,TNC,TNFRSF11B,TNS1,VTN,ZFP36	167 (14)
PGR	ligand-dependent nuclear receptor	4.03E-21	AK4,AKR1C3,CA12,CCN5,CEBPD,COL1A1,COL1A2,COL5A1,COL5A2,COL6A1,COL6A2,DCHS1,EFNA3,F2RL1,FAT4,FBN1,FHL1,FN1,GAS6,HSPA2,ITGA10,ITGA11,KRT18,LOXL1,MMP11,MUC1,PDGFRB,PDPN,PRRX1,PTGS2,SELL,SERPINE1,SERPINH1,SNAP25,STAT5A,TENM3,TGFB2,TGFB3,TGFBI,TNC,TSC22D3,VCAN,VTN	208 (21)
TNF	cytokine	2.94E-18	ADGRE1,AGFG2,ANGPT1,APLN,ARID5B,BDKRB2,BHLHE41,C1S,CA12,CCDC80,CCL5,CCN4,CCN5,CDH11,CEBPD,CEMIP,CFH,CHI3L1,CHSY3,CLEC2D,COL1A1,COL1A2,COL3A1,COL5A1,DCHS1,DCN,DDIT4,DEPP1,DUSP2,EDIL3,EGLN3,ENPP2,F2RL1,FN1,FPR1,FSCN1,GBP2,GJA1,GPAM,HAS1,HTRA1,IFITM2,IGFBP4,ITGA10,ITGB8,KRT18,LDHA,LOXL1,MAGI1,MAPK11,MSC,MT1E,MUC1,NNMT,PDE1C,PDE7B,PDPN,PECAM1,PLXDC2,PTGS2,PTPRN,RARRES2,RCN3,RGS2,RNASE4,SCN9A,SELL,SEMA3C,SERPINE1,SERPINE2,SLC14A1,SMO,SNAI1,SOD3,SPARC,ST8SIA4,STAT5A,TAGLN,TCIM,TGFB1I1,TGFB2,TGFB3,THBS1,THBS2,TIMP3,TNC,TNFAIP6,TNFRSF11B,TNFSF10,TSC22D3,WNT10B,ZFP36	179 (17)
HRAS	enzyme	7.43E-18	CCDC80,CCL5,CDON,CEBPD,CFH,COL18A1,COL1A1,COL1A2,COL3A1,COL5A2,COL6A2,CXXC5,DLL1,EFEMP1,EFEMP2,FHL1,FN1,GAS6,GJA1,HTRA1,ID2,IGFBP4,KRT18,LOXL1,LRRC17,PCDHGA1,PCDHGA11,PDGFRB,PTGFRN,PTGS2,RECK,S100A4,SERPINE1,SERPINE2,SLIT3,SNAI1,SPARC,TAGLN,TENM3,TGFB1I1,TGFB2,TGFB3,THBS1,TIMP3,TNFRSF11B,TPM2,VCAN	161 (18)
KRAS	enzyme	1.09E-17	CBS,CCDC80,CCN4,CDH11,CHI3L1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,EFEMP1,F2RL1,FBN1,FN1,FUT11,GAS1,GJA1,GLDN,GPC6,GXYLT2,HAS1,HTRA1,IFITM2,KRT18,LDHA,LMO7,LUM,MUC1,NNMT,NRN1,P3H3,PCOLCE,PDGFRB,PDPN,PECAM1,PTGS2,RAB20,RARRES2,RNASE4,S100A4,SERPINE1,SERPINE2,SLIT3,SMAD6,SNAI1,SOD3,SPARC,SPRY1,TAGLN,TGFB3,THBS1,THBS2,TIMP3,TNC,TNFRSF11B,TNFSF10,TPM2,VCAN	176 (20)
TGFB3	growth factor	4.41E-17	ACTG2,COL1A1,COL1A2,COL3A1,COL5A1,F2RL1,FAP,FN1,GJA1,HTRA1,MAPK11,PDPN,SERPINE1,SERPINE2,SNAI1,TAGLN,TGFB3,THBS1,TIMP3,TNC,TNFRSF11B,TNS1	144 (15)
beta-estradiol	chemical - endogenous mammalian	7.80E-16	ACTC1,ADAMTSL4,ANGPT1,ARID5B,ARNT2,CA12,CA14,CBS,CCDC80,CCL5,CCN5,CDH11,CEBPD,CHI3L1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A2,CSRNP3,CXXC5,DBP,DCN,DDIT4,DLL1,EFEMP1,ENPP2,F2RL1,FBN1,FHL1,FN1,FSCN1,GABRE,GJA1,GPAM,HAS1,HSD17B6,HSPA2,HTRA1,ID2,IGFBP4,ITGA11,ITGB8,JAM2,KRT18,LDB3,LDHA,LMO7,LPCAT2,LTBP1,LUM,MAGI1,MUC1,NPY4R,NRP2,OPRL1,P4HA1,PDGFD,PDGFRB,PDK1,PLA2R1,PPP1R3B,PROS1,PTGS2,PTPRN,RARRES2,RGS2,S100A4,SEMA3C,SERPINE1,SLC14A1,SLITRK4,SMAD6,SNAI1,SNAP25,SNED1,SOD3,SPARC,SPEG,SPRY1,ST8SIA4,STAT5A,TCF7L1,TCIM,TGFB2,TGFB3,THBS1,THBS2,TIMP3,TNC,TNFAIP6,TNFRSF11B,TNS1,TPD52L1,TRO,TSC22D3,VCAN,VTN,WNT10B,WNT2B,ZFP36	197 (19)
