© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
tRNA processing in the mitochondrion	4.99E00	1.46E-01	NaN	MT-ATP8,MT-TA,MT-TC,MT-TE,MT-TN,MT-TY	
Airway Pathology in Chronic Obstructive Pulmonary Disease	4.08E00	7.02E-02	NaN	CCL2,FGF11,FGF7,IL33,IL6,PTGDS,TNFSF13B,TNFSF14	
Sheddase Signaling Pathway	3.65E00	4.9E-02	NaN	ADAM28,CCL7,ELF3,IGFBP3,IGFBP7,IL33,IL6,MMP24,POSTN,TMPRSS2	
Prostanoid Biosynthesis	3.55E00	2.73E-01	NaN	PTGDS,PTGES,PTGIS	
IL-17A Signaling in Fibroblasts	3.34E00	7.5E-02	NaN	CCL2,CCL7,ELF3,IL6,LOX,P4HA2	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.2E00	4.69E-02	NaN	AGTR1,CCL2,COL8A1,CSF1,CYP2E1,IGFBP3,IL6,LBP,PDGFRA	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	3.13E00	2E-01	NaN	PTGDS,PTGES,PTGIS	
Collagen biosynthesis and modifying enzymes	2.86E00	7.46E-02	NaN	COL14A1,COL8A1,COLGALT2,P4HA2,PLOD1	
Post-translational protein phosphorylation	2.68E00	5.61E-02	NaN	C3,CSF1,IGFBP3,IGFBP7,IL6,SCG2	
Estrogen Biosynthesis	2.58E00	8.51E-02	NaN	CYP2A6,CYP2E1,CYP2J2,HSD17B1	
Phase I - Functionalization of compounds	2.56E00	5.31E-02	NaN	AADAC,CYP26B1,CYP2A6,CYP2E1,CYP2J2,PTGIS	
Pathogen Induced Cytokine Storm Signaling Pathway	2.55E00	3.14E-02	NaN	C3,CCL2,CCL7,COL8A1,CSF2RB,FTH1,IL33,IL6,SLC2A5,TLR7,TNFSF13B,TNFSF14	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	2.53E00	3.75E-02	NaN	CTSF,CTSO,DLX5,IL33,IL6,MMP24,SFRP4,TNFSF13B,TNFSF14	
HMGB1 Signaling	2.43E00	4.37E-02	NaN	CCL2,IL33,IL6,PLAT,RHOU,TNFSF13B,TNFSF14	
Preeclampsia Signaling Pathway	2.42E00	4.35E-02	NaN	AGTR1,ANGPTL4,GPER1,ID1,IL33,IL6,mir-210	
Bupropion Degradation	2.41E00	1.15E-01	NaN	CYP2A6,CYP2E1,CYP2J2	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	2.37E00	4.84E-02	NaN	C3,CSF1,IGFBP3,IGFBP7,IL6,SCG2	
Hematoma Resolution Signaling Pathway	2.31E00	3.47E-02	NaN	C3,FTH1,IL33,IL6,MMP24,PLAT,SOD2,TNFSF13B,TNFSF14	
LXR/RXR Activation	2.27E00	4.62E-02	NaN	C3,CCL2,CCL7,IL33,IL6,LBP	
Assembly of collagen fibrils and other multimeric structures	2.18E00	6.56E-02	NaN	COL14A1,COL8A1,LOX,LOXL4	
Glycation Signaling Pathway	2.17E00	3.56E-02	NaN	CCL2,CSF1,CYP2E1,IL33,IL6,TNFSF13B,TNFSF14,TXNIP	
CGAS-STING Signaling Pathway	2.14E00	4.35E-02	NaN	CCL2,IL33,IL6,PCDH7,TNFSF13B,TNFSF14	
Metallothioneins bind metals	2.12E00	1.82E-01	NaN	MT1X,MT2A	
NAD Phosphorylation and Dephosphorylation	2.12E00	1.82E-01	NaN	ACP5,PXYLP1	
Coagulation System	2.05E00	8.57E-02	NaN	PLAT,SERPINA5,TFPI	
Irritable Bowel Syndrome Signaling Pathway	2.01E00	3.11E-02	NaN	CCL2,CCL7,IL33,IL6,MMP24,RHOU,TLR7,TNFSF13B,TNFSF14	
Metabolism of steroid hormones	1.95E00	7.89E-02	NaN	AKR1B1,HSD11B1,HSD17B1	
LPS/IL-1 Mediated Inhibition of RXR Function	1.93E00	3.02E-02	NaN	ALDH1L1,CYP2A6,CYP2E1,CYP2J2,FABP3,HS6ST3,IL33,LBP,SULT4A1	
Interleukin-4 and Interleukin-13 signaling	1.92E00	4.5E-02	NaN	CCL2,IL6,LBP,RHOU,RORA	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.92E00	3.9E-02	NaN	C3,IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Formation of Fibrin Clot (Clotting Cascade)	1.92E00	7.69E-02	NaN	SERPINA5,SERPING1,TFPI	
Wound Healing Signaling Pathway	1.92E00	3.21E-02	NaN	ACVR1C,COL8A1,FGF7,IL33,IL6,LAMA2,TNFSF13B,TNFSF14	
Nicotine Degradation III	1.87E00	5.33E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
Acetone Degradation I (to Methylglyoxal)	1.86E00	7.32E-02	NaN	CYP2A6,CYP2E1,CYP2J2	
Hepatic Fibrosis Signaling Pathway	1.85E00	2.64E-02	NaN	ACVR1C,AGTR1,CACNB4,CCL2,FTH1,IL33,ITGA1,ITGA7,PDGFRA,RHOU,SOD2	
Signal regulatory protein family interactions	1.79E00	1.25E-01	NaN	SIRPB1,SIRPG	
TREM1 Signaling	1.79E00	5.06E-02	NaN	CCL2,CCL7,IL6,TLR7	
Elastic fibre formation	1.78E00	6.82E-02	NaN	LOX,LOXL4,MFAP5	
Aspirin ADME	1.78E00	6.82E-02	NaN	BCHE,CYP2E1,UGT1A7	
Retinoid metabolism and transport	1.78E00	6.82E-02	NaN	BCO2,SDC3,SDC4	
Interleukin-10 signaling	1.75E00	6.67E-02	NaN	CCL2,CSF1,IL6	
Signaling by Retinoic Acid	1.73E00	6.52E-02	NaN	CYP26B1,PDK4,RDH5	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.73E00	6.52E-02	NaN	CCL2,CCL7,IL6	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.7E00	1.11E-01	NaN	CCL2,IL6	
Integrin cell surface interactions	1.69E00	4.71E-02	NaN	COL8A1,ITGA1,ITGA7,MADCAM1	
Melatonin Degradation I	1.69E00	4.71E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
Nicotine Degradation II	1.69E00	4.71E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
Agranulocyte Adhesion and Diapedesis	1.68E00	3.12E-02	NaN	CCL2,CCL7,CD34,IL33,MADCAM1,MMP24,SDC4	
Class A/1 (Rhodopsin-like receptors)	1.66E00	2.71E-02	NaN	AGTR1,C3,CCL2,CCL7,GPER1,GPR68,HTR1F,LPAR1,PTGIR	
Tumor Microenvironment Pathway	1.62E00	3.33E-02	NaN	CCL2,CSF1,FGF11,FGF7,IL6,MMP24	
Synthesis, secretion, and deacylation of Ghrelin	1.61E00	1E-01	NaN	BCHE,PCSK1	
Superpathway of Melatonin Degradation	1.59E00	4.4E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
Atherosclerosis Signaling	1.58E00	3.68E-02	NaN	CCL2,CSF1,IL33,IL6,TNFSF14	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.57E00	4.35E-02	NaN	CCL2,IL33,IL6,TLR7	
Synaptic adhesion-like molecules	1.57E00	9.52E-02	NaN	DLG4,GRIA3	
Macrophage Classical Activation Signaling Pathway	1.54E00	3.19E-02	NaN	IL33,IL6,LBP,mir-210,TNFSF13B,TNFSF14	
Regulation of TLR by endogenous ligand	1.53E00	9.09E-02	NaN	LBP,TLR7	
Acute Phase Response Signaling	1.51E00	3.14E-02	NaN	C3,IL33,IL6,LBP,SERPING1,SOD2	
CSDE1 Signaling Pathway	1.5E00	5.36E-02	NaN	BCYRN1,CCL2,SDC4	
NAD Salvage Pathway II	1.5E00	8.7E-02	NaN	ACP5,PXYLP1	
Apelin Cardiac Fibroblast Signaling Pathway	1.5E00	8.7E-02	NaN	AGTR1,IL6	
NOD1/2 Signaling Pathway	1.49E00	3.11E-02	NaN	CCL2,IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	1.48E00	3.09E-02	NaN	FGF11,FGF7,IL6,PDGFRA,TNFSF13B,TNFSF14	
Iron homeostasis signaling pathway	1.48E00	3.45E-02	NaN	EPAS1,FTH1,HEPH,IL6,PDGFRA	
FXR/RXR Activation	1.47E00	3.08E-02	NaN	IL33,IL6,mir-186,TNFSF13B,TNFSF14,TXNIP	
Cardiac Hypertrophy Signaling (Enhanced)	1.47E00	2.23E-02	NaN	ACVR1C,AGTR1,CACNB4,CSF2RB,FGF11,FGF7,IL33,IL6,ITGA1,ITGA7,TNFSF13B,TNFSF14	
Thyronamine and Iodothyronamine Metabolism	1.44E00	3.33E-01	NaN	DIO1	
Thyroid Hormone Metabolism I (via Deiodination)	1.44E00	3.33E-01	NaN	DIO1	
