© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Multiple Sclerosis Signaling Pathway	6.25E00	6.39E-02	NaN	C7,CAPN3,CSF2,CXCL1,CXCL8,GRIN2A,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B,LIF,PARP15,TLR4	
Interleukin-10 signaling	5.94E00	1.56E-01	NaN	CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,LIF	
Acute Phase Response Signaling	5.37E00	6.28E-02	NaN	C4BPB,CFB,CP,IL1A,IL1B,IL36B,SAA1,SAA2,SAA4,SERPINA1,SERPINA3,SERPIND1	
LXR/RXR Activation	5.34E00	7.69E-02	NaN	ABCG8,CD36,IL1A,IL1B,IL36B,SAA1,SAA2,SAA4,SERPINA1,TLR4	
NAD biosynthesis II (from tryptophan)	5.18E00	3.64E-01	NaN	KMO,KYNU,NMNAT2,NMNAT3	
Atherosclerosis Signaling	5.16E00	7.35E-02	NaN	CD36,CXCL8,IL1A,IL1B,IL36B,MMP1,PLA2G4C,SAA4,SERPINA1,VCAM1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	5.14E00	2.17E-01	NaN	CSF2,CSF3,CXCL1,IL1A,IL1B	
Parkinson's Signaling Pathway	5.05E00	4.75E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CACNA1D,CSF2,CXCL8,GBA3,GRIN2A,IL1A,IL1B,IL36B,IL4I1,LIF,TLR4	
Interleukin-4 and Interleukin-13 signaling	5.05E00	8.11E-02	NaN	CD36,CXCL8,IL13RA2,IL1A,IL1B,LIF,MMP1,SAA1,VCAM1	
Putrescine Degradation III	5.04E00	2.08E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
Hematoma Resolution Signaling Pathway	4.71E00	5.02E-02	NaN	C7,CD36,CSF2,CXCL8,GRIN2A,IL1A,IL1B,IL36B,LIF,MMP1,NOX4,PTGER3,TLR4	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	4.69E00	6.49E-02	NaN	C5AR1,CSF2,CXCL8,IL1A,IL1B,IL36B,LIF,OAS2,PTX3,TLR4	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	4.66E00	7.26E-02	NaN	AFP,CP,IGFBP2,MELTF,MMP1,PAPPA,SERPINA1,SERPIND1,TMEM132A	
Tryptophan Degradation X (Mammalian, via Tryptamine)	4.54E00	1.67E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
Autism Signaling Pathway	4.53E00	4.53E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CACNA1D,CSF2,CXCL8,FZD3,GRIN2A,IL1A,IL1B,IL36B,LIF,SCN1A	
Potassium Channels	4.41E00	7.77E-02	NaN	ABCC8,ABCC9,HCN4,KCNA10,KCNB1,KCNJ6,KCNMB3,KCNQ3	
Role of Cytokines in Mediating Communication between Immune Cells	4.26E00	1.09E-01	NaN	CSF2,CSF3,CXCL8,IL1A,IL1B,IL36B	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	4.24E00	2.22E-01	NaN	CSF2,CSF3,CXCL1,IL1B	
Airway Pathology in Chronic Obstructive Pulmonary Disease	4.1E00	7.02E-02	NaN	CSF2,CXCL1,CXCL8,IL1A,IL1B,IL36B,LIF,MMP1	
LPS/IL-1 Mediated Inhibition of RXR Function	4.08E00	4.36E-02	NaN	ABCG8,ACSL5,ACSL6,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CYP2C18,IL1A,IL1B,IL36B,IL4I1,TLR4	
Noradrenaline and Adrenaline Degradation	3.97E00	1.28E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
Dopamine Degradation	3.92E00	1.25E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.88E00	5.21E-02	NaN	CCR7,COL9A2,CXCL8,FLT1,IL1A,IL1B,MMP1,MYO5C,TLR4,VCAM1	
Fatty Acid α-oxidation	3.88E00	1.82E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
NOD1/2 Signaling Pathway	3.86E00	5.18E-02	NaN	ACAP1,CSF2,CXCL8,DUOX2,IL1A,IL1B,IL36B,LIF,TLR4,TNFAIP3	
Histamine Degradation	3.8E00	1.74E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
Preeclampsia Signaling Pathway	3.78E00	5.59E-02	NaN	FLT1,FZD3,IL1A,IL1B,IL36B,KCNMB3,LIF,TLR4,VCAM1	
Transport of vitamins, nucleosides, and related molecules	3.77E00	1.16E-01	NaN	SLC16A2,SLC28A3,SLC29A3,SLCO2A1,SLCO2B1	
Granulocyte Adhesion and Diapedesis	3.67E00	4.9E-02	NaN	C5AR1,CCR7,CSF3,CXCL1,CXCL8,IL1A,IL1B,IL36B,MMP1,VCAM1	
Neuroinflammation Signaling Pathway	3.65E00	3.94E-02	NaN	CXCL8,GABRB3,GRIN2A,HLA-DPA1,HLA-DRB1,IL1B,IRAK2,KCNJ6,NOX4,PLA2G4C,SLC6A13,TLR4,VCAM1	
Irritable Bowel Syndrome Signaling Pathway	3.61E00	4.15E-02	NaN	CSF2,CSF3,CXCL1,CXCL8,IL13RA2,IL1A,IL1B,IL36B,LIF,MMP1,TLR4,TNIP1	
Lung Ionic Balance Signaling Pathway	3.59E00	3.26E-02	NaN	ADGRD1,C5AR1,CALCRL,CCR7,CXCL8,ESR1,FZD3,GPR35,GPR37L1,HCN4,IL1A,IL1B,KCNMB3,NOX4,PLCZ1,PTGER3,RGR	
Ethanol Degradation IV	3.58E00	1.54E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.56E00	3.86E-02	NaN	ADAMTS4,C5AR1,CSF2,CXCL8,FZD3,IL1A,IL1B,IL36B,IRAK2,MMP1,PLCZ1,TLR4,VCAM1	
Retinoate Biosynthesis I	3.45E00	1E-01	NaN	AKR1C4,ALDH1A1,ALDH1A2,ALDH1A3,DHRS3	
Toll-like Receptor Signaling	3.45E00	7.79E-02	NaN	IL1A,IL1B,IL36B,IRAK2,TLR4,TNFAIP3	
Xenobiotic Metabolism AHR Signaling Pathway	3.42E00	6.42E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL1A,IL1B,UGT1A1	
Agranulocyte Adhesion and Diapedesis	3.35E00	4.46E-02	NaN	C5AR1,CCR7,CXCL1,CXCL8,IL1A,IL1B,IL36B,MMP1,MYO5C,VCAM1	
Hepatic Cholestasis	3.33E00	4.44E-02	NaN	ABCG8,CSF2,CXCL8,ESR1,IL1A,IL1B,IL36B,IRAK2,LIF,TLR4	
Glycation Signaling Pathway	3.33E00	4.44E-02	NaN	CD36,CSF2,CXCL8,IL1A,IL1B,IL36B,IRAK2,LIF,NOX4,VCAM1	
Macrophage Classical Activation Signaling Pathway	3.28E00	4.79E-02	NaN	CSF2,CXCL8,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B,LIF,TLR4	
