© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL1B	cytokine	9.14E-15	ADAMTS4,BMP2,CCR7,CFB,CP,CSF2,CSF3,CXCL1,CXCL8,DAAM2,DUOX2,EHF,ESR1,FLT1,HLA-DRB1,HSD17B2,IER5L-AS1,IKZF3,IL13RA2,IL1A,IL1B,IL36B,IL4I1,IRAK2,KRT34,KYNU,LAMC2,LIF,MMP1,OAS2,PAPPA,PI3,PTX3,SAA1,SAA2,SAA4,SEMA3E,SERPINA1,SERPINA3,SERPINB2,SLC3A1,ST18,STAT4,THBD,TLR4,TMEM132A,TNFAIP3,TNIP1,TREM1,UGT1A1,VCAM1	100 (14)
IL1A	cytokine	5.36E-14	ADAMTS4,ALDH1A1,ALDH1A3,CSF2,CSF3,CXCL1,CXCL8,DUOX2,IL13RA2,IL1A,IL1B,IL36B,LIF,MMP1,PDZK1IP1,PI3,PTX3,SAA1,SAA2,SEMA3E,SERPINA1,SERPINA3,TLR4,TNFAIP3,VCAM1	90 (12)
TNF	cytokine	1.04E-12	ACSL5,ADAMTS4,ADGRD1,ALDH1A3,ALDH2,ANGPTL1,BMP2,C5AR1,C6orf58,CCR7,CD28,CD36,CEACAM1,CFB,CP,CSF2,CSF3,CXCL1,CXCL8,DHRS3,EHF,ESR1,FAT2,FLT1,HLA-DRB1,IGFBP2,IL13RA2,IL1A,IL1B,IL36B,IL4I1,IRAK2,KMO,KRT34,KYNU,LAMC2,LIF,MMP1,MST1R,MYO5C,NOX4,OAS2,PAPPA,PI3,PLA2G4C,PTX3,SAA1,SAA2,SBSN,SERPINA1,SERPINA3,SERPINB10,SERPINB2,SERPIND1,SHBG,SLC16A2,SLCO2B1,STAT4,TG,THBD,TLR4,TNFAIP3,TNFRSF8,TNIP1,TREM1,VAV3,VCAM1	104 (15)
IL1 (family)	group	2.78E-12	ADAMTS4,BMP2,CCR7,CEACAM1,CFB,CP,CSF2,CSF3,CXCL1,CXCL8,IL1B,KYNU,LIF,MMP1,SAA1,SAA2,SAA4,SERPINB2,SHBG,TG,THBD,TLR4,TNFAIP3,VCAM1	84 (12)
HBB	enzyme	8.66E-12	CCR7,CFB,CSF2,CSF3,CXCL1,CXCL8,FLT1,IL1A,IL1B,LIF,OAS2,TLR4,TNFAIP3,VCAM1	92 (14)
RELA	transcription regulator	7.34E-11	ADAMTS4,AFP,BMP2,CCR7,CD28,CDKL3,CFB,CSF2,CXCL1,CXCL8,EHF,IGFBP2,IL1A,IL1B,MMP1,MST1R,NOX5,PI3,PTX3,SAA2,SERPINB2,SHBG,TNFAIP3,TNIP1,TREM1,UGT1A1,VCAM1	105 (15)
tetradecanoylphorbol acetate	chemical drug	9.89E-11	ADAMTS4,ALDH1A3,BMP2,C10orf90,C5AR1,CALCRL,CCR7,CD28,CD36,CSF2,CSF3,CXCL1,CXCL8,ESR1,FLT1,GPIHBP1,GPR35,GRIN2A,HSD17B2,IGFBP2,IKZF3,IL1A,IL1B,IL4I1,JCAD,KRT34,LIF,MMP1,MST1R,PI3,PTX3,SBSN,SERPINA1,SERPINA3,SERPINB10,SERPINB2,SLC28A3,SPRY4,TLR4,TMEM132A,TNFAIP3,TNFRSF8,VCAM1,ZPBP2	109 (13)
STAT3	transcription regulator	2.61E-10	ALDH1A1,ALDH1A3,ARRDC4,BMP2,C5AR1,CCR7,CEACAM1,CFB,CP,CSF2,CSF3,CXCL8,ESR1,FLT1,GRIN2A,IKZF3,IL13RA2,IL1A,IL1B,KRT34,LIF,MMP1,NOX4,NOX5,OAS2,PTX3,SAA1,SERPINA1,SERPINA3,SERPINB2,THBD,TLR4,TNFRSF8,VTCN1	100 (13)
erlotinib	chemical drug	2.96E-10	CD36,CSF2,CSF3,CXCL1,CXCL8,IL13RA2,IL1A,IL1B,LIF,MMP1,NOX4,NOX5,SERPINB2,TLR4	86 (16)
NFKB (complex)	complex	5.98E-10	ALDH1A3,BMP2,CCR7,CD36,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,IGFBP2,IL13RA2,IL1A,IL1B,KYNU,LIF,MMP1,MST1R,PTX3,SAA1,SERPINA3,SERPINB2,SLC3A1,ST18,STAT4,TLR4,TNFAIP3,TNIP1,VCAM1	97 (15)
