© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
PPARD	-5.196	-8.667	-9.269	-6.252	-9.26	-9.376	-9.376	-9.215	2.524	6.41
CEBPB	-4.927	-7.995	-8.718	-6.411	-8.693	-8.886	-9.027	-8.972	1.987	5.387
aflatoxin B1	-5.292	-7.874	-8.426	-6.083	-8.426	-8.544	-8.544	-8.485	1.414	5.385
TBX3	-5.749	-7.924	-8.146	-6.156	-8.023	-8.146	-8.146	-8.023	2.496	5.513
l-asparaginase	4.69	7.55	8.124	6.0	8.124	8.124	8.124	8.0	-3.3	-6.164
NUPR1	5.0	7.211	8.124	5.657	8.0	8.128	8.128	8.004	-2.496	-5.916
CSF2	-5.165	-7.39	-7.776	-5.903	-7.911	-7.772	-7.772	-7.707	2.889	5.241
Eldr	-5.468	-7.04	-7.25	-5.627	-7.181	-7.25	-7.25	-7.25	2.183	5.965
VEGF	-4.514	-6.978	-7.64	-5.404	-7.476	-7.837	-7.837	-7.606	1.749	4.864
HGF	-4.531	-6.975	-7.507	-5.216	-7.507	-7.81	-7.81	-7.628	1.744	4.937
TFEB	-3.162	-6.236	-7.518	-5.359	-7.518	-7.71	-7.71	-7.513	2.828	4.872
torkinib	2.897	6.102	7.27	5.227	7.203	7.336	7.336	7.27	-2.97	-5.231
beta-estradiol	-3.931	-6.68	-7.52	-5.615	-7.252	-7.489	-7.597	-7.536	1.377	3.264
ERBB2	-3.627	-6.577	-7.452	-5.886	-7.386	-7.486	-7.486	-7.514	0.936	3.773
ESR1	-4.762	-6.589	-6.838	-4.752	-6.766	-7.111	-7.111	-7.05	2.236	4.558
MYC	-3.665	-6.906	-7.342	-5.799	-7.143	-7.284	-7.278	-7.275	1.805	2.985
calcitriol	4.127	6.216	6.995	5.854	6.836	6.871	6.936	6.734	-0.628	-4.08
MITF	-3.873	-6.245	-6.848	-5.196	-6.405	-6.634	-6.634	-6.482	1.943	4.353
ifosfamide	4.583	6.164	6.633	5.0	6.633	6.708	6.708	6.633	-0.832	-4.379
CKAP2L	-4.472	-6.164	-6.245	-4.899	-6.245	-6.245	-6.245	-6.245	1.508	5.0
CDKN2A	2.157	5.401	6.678	4.672	6.751	6.751	6.751	6.751	-1.997	-3.324
let-7 (includes others)	3.434	5.781	6.213	5.343	6.368	6.097	6.097	6.291	-1.72	-3.728
methotrexate	4.656	5.661	6.239	4.574	6.173	6.318	6.318	6.239	-0.535	-4.082
TP53	4.524	5.848	6.216	5.28	6.441	5.979	5.731	5.892	-0.68	-3.826
