© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
Molecular Mechanisms of Cancer	-2.333	-3.606	-2.887	-2.0	-1.633	-1.0	-3.162	-3.051	-1.89	-2.887
Pulmonary Fibrosis Idiopathic Signaling Pathway	-1.508	-3.0	-3.0	-2.646	-2.53	-1.342	-2.333	-2.673	N/A	-2.121
FAK Signaling	-1.89	-3.162	-2.333	N/A	-2.0	N/A	-2.828	-2.53	-2.449	-2.333
S100 Family Signaling Pathway	-1.633	-2.53	-2.333	N/A	-2.0	N/A	-2.646	-3.0	-2.0	-2.449
G-Protein Coupled Receptor Signaling	-1.633	-2.111	-1.667	-1.0	-1.342	0.0	-2.828	-2.53	-2.449	-2.333
BBSome Signaling Pathway	N/A	-2.646	-2.449	-2.236	-2.236	N/A	-2.0	-2.449	-1.342	-2.449
Phagosome Formation	-2.0	-2.828	-2.449	N/A	N/A	N/A	-2.449	-2.828	-2.236	-2.646
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	-2.0	-2.646	-2.646	N/A	-2.0	N/A	-2.0	-2.646	N/A	-2.236
CREB Signaling in Neurons	N/A	-2.646	-2.449	N/A	N/A	N/A	-2.449	-2.646	-2.0	-2.449
Pathogen Induced Cytokine Storm Signaling Pathway	N/A	-2.236	-2.449	-2.236	-2.449	N/A	N/A	-2.449	N/A	-2.449
Lung Ionic Balance Signaling Pathway	N/A	-2.236	-2.0	N/A	N/A	N/A	-2.0	-2.236	-2.0	-2.236
Serotonin Receptor Signaling	-2.0	-2.236	-2.0	N/A	N/A	N/A	-2.0	-2.236	N/A	-2.236
Hepatic Fibrosis Signaling Pathway	-2.449	-2.828	-2.828	N/A	N/A	N/A	-2.0	-2.449	N/A	N/A
Colorectal Cancer Metastasis Signaling	-2.449	-2.449	-2.449	N/A	N/A	N/A	-2.0	-2.449	N/A	N/A
Chronic Myeloid Leukemia Signaling	-1.342	-2.646	-2.121	N/A	-1.342	N/A	-2.236	-1.89	N/A	N/A
Extracellular matrix organization	N/A	-2.236	-2.236	N/A	-2.0	N/A	N/A	-2.236	N/A	-2.0
CXCR4 Signaling	-2.236	-2.236	-2.0	N/A	N/A	N/A	N/A	-2.236	N/A	-2.0
Cardiac Hypertrophy Signaling (Enhanced)	-2.236	-2.236	-2.236	N/A	N/A	N/A	-2.0	-2.0	N/A	N/A
Breast Cancer Regulation by Stathmin1	N/A	-1.89	-1.633	N/A	N/A	N/A	-1.633	-1.89	-2.0	-1.633
Signaling by Rho Family GTPases	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.0	-2.236	N/A	-2.0
Neuroinflammation Signaling Pathway	-2.0	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.236	N/A	-2.0
Cellular Effects of Sildenafil (Viagra)	N/A	1.633	1.342	N/A	N/A	N/A	1.342	1.633	2.0	2.236
G alpha (i) signalling events	N/A	-2.0	-2.0	N/A	-2.0	N/A	N/A	-2.0	N/A	-2.0
Myelination Signaling Pathway	-2.236	-2.449	-2.449	N/A	N/A	N/A	N/A	-2.236	N/A	N/A
Class A/1 (Rhodopsin-like receptors)	N/A	-2.236	-2.0	N/A	N/A	N/A	N/A	-2.0	-1.0	-2.0
RAR Activation	-2.0	-2.236	-2.449	N/A	N/A	N/A	N/A	-2.236	N/A	N/A
Human Embryonic Stem Cell Pluripotency	-2.0	-2.236	-2.236	N/A	N/A	N/A	N/A	-2.236	N/A	N/A
O-linked glycosylation	N/A	-2.236	-2.236	N/A	N/A	N/A	N/A	-2.236	N/A	-2.0
Autism Signaling Pathway	-2.0	-2.236	-2.236	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
ABRA Signaling Pathway	-2.0	-2.236	-2.236	N/A	-2.0	N/A	N/A	N/A	N/A	N/A
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	-2.0	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
ILK Signaling	-2.0	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
Glioblastoma Multiforme Signaling	-2.0	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
Cyclophilin Signaling Pathway	-2.236	-1.633	-1.633	N/A	N/A	N/A	N/A	-1.633	N/A	N/A
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-1.633	-2.236	-1.633	N/A	N/A	N/A	N/A	-1.633	N/A	N/A
Wound Healing Signaling Pathway	N/A	-1.342	-1.342	N/A	-2.0	N/A	N/A	-1.342	N/A	-1.0
RHO GTPase cycle	N/A	-2.236	N/A	N/A	N/A	N/A	-2.0	-2.0	N/A	N/A
Integrin Signaling	-2.0	-2.0	N/A	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
Assembly of collagen fibrils and other multimeric structures	N/A	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
GP6 Signaling Pathway	N/A	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
Nuclear Cytoskeleton Signaling Pathway	N/A	-2.0	-2.0	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	-1.0	-2.0	-1.342	N/A	N/A	N/A	N/A	-1.0	N/A	N/A
Endothelin-1 Signaling	-1.0	-1.0	-1.0	N/A	N/A	N/A	-1.0	-1.0	N/A	N/A
Neutrophil Extracellular Trap Signaling Pathway	N/A	1.0	1.0	1.0	1.0	N/A	N/A	1.0	N/A	N/A
Activin Inhibin Signaling Pathway	N/A	-2.0	-2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	1.0	1.0	1.0	N/A	N/A	N/A	N/A	1.0	N/A	N/A
WNT/SHH Axonal Guidance Signaling Pathway	N/A	-2.0	-2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ribonucleotide Reductase Signaling Pathway	N/A	-1.0	-1.0	N/A	N/A	N/A	-1.0	-1.0	N/A	N/A
ID1 Signaling Pathway	N/A	-2.0	-2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Tissue Factor in Cancer	N/A	-2.0	-2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDX Gastrointestinal Cancer Signaling Pathway	1.0	1.0	1.0	N/A	N/A	N/A	N/A	1.0	N/A	N/A
Transcriptional Regulatory Network in Embryonic Stem Cells	-1.0	-1.0	-1.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCAM signaling for neurite out-growth	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
HER-2 Signaling in Breast Cancer	N/A	N/A	-1.0	N/A	N/A	N/A	N/A	-1.0	N/A	N/A
IL-27 Signaling Pathway	-1.0	N/A	-1.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ROBO SLIT Signaling Pathway	0.0	-1.0	N/A	N/A	N/A	N/A	N/A	-1.0	N/A	N/A
NAFLD Signaling Pathway	N/A	N/A	-1.0	N/A	N/A	N/A	N/A	-1.0	N/A	N/A
Sheddase Signaling Pathway	N/A	0.0	0.0	N/A	1.0	N/A	N/A	-0.447	N/A	0.0
Glycation Signaling Pathway	N/A	-0.447	-0.447	N/A	0.0	N/A	N/A	-0.447	N/A	0.0
Opioid Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1.0
PI Metabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuropathic Pain Signaling in Dorsal Horn Neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hedgehog 'off' state	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Th1 Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thrombin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Class I peroxisomal membrane protein import	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cholesterol Biosynthesis I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Passive transport by Aquaporins	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glyoxylate metabolism and glycine degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-3, Interleukin-5 and GM-CSF signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Nephron development	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SUMOylation of DNA methylation proteins	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ERK/MAPK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gαs Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Binding and Uptake of Ligands by Scavenger Receptors	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
γ-linolenate Biosynthesis II (Animals)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macrophage Alternative Activation Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neurotransmitter release cycle	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ceramide Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-9 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Renin-Angiotensin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HGF Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
