© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
TP53	5.327	5.272	4.296	-0.471	-2.627	-1.745	-2.511	-2.297	-0.415	-0.446
decitabine	4.748	4.313	3.756	-2.169	-3.544	-0.823	-2.115	-0.799	-1.488	-1.011
lipopolysaccharide	4.764	4.571	4.279	-2.083	-3.553	N/A	-1.243	-0.467	0.838	1.144
AURK	-4.111	-4.111	-3.302	N/A	N/A	2.236	2.813	2.63	1.195	1.195
ANLN	-4.123	-4.123	-3.317	N/A	N/A	2.236	2.828	2.646	1.134	1.134
tretinoin	2.958	3.352	3.016	-2.169	-2.268	N/A	-2.297	-1.004	-1.956	-1.55
doxorubicin	3.654	3.408	3.471	-2.18	-1.332	-1.775	-0.793	-2.155	0.542	-0.296
AGT	2.317	2.84	2.011	-0.757	-1.05	-1.984	-2.262	-2.721	0.705	-0.232
NFkB (complex)	2.759	2.419	2.419	-1.951	-2.599	-1.477	-1.987	-1.01	0.246	N/A
rebemadlin	2.737	2.563	2.379	N/A	N/A	N/A	-1.921	-2.563	-1.946	-2.161
SMAD3	3.264	2.789	2.599	-1.969	-2.213	N/A	N/A	-1.969	N/A	-1.0
PPARG	3.215	3.215	3.06	-1.951	-2.348	N/A	-1.016	N/A	-0.918	N/A
mitomycin C	2.75	2.572	2.572	N/A	N/A	N/A	-1.945	-2.591	-1.107	-1.945
BHLHE40	1.686	1.411	2.159	-1.673	-1.387	N/A	0.265	2.339	1.436	2.781
IFNG	3.288	3.437	3.05	0.081	-2.154	N/A	N/A	-1.892	0.181	-0.977
p38 MAPK	3.08	2.921	2.755	N/A	-1.98	N/A	-1.929	-1.431	N/A	-0.887
TNF	3.436	3.59	2.894	-0.401	-2.221	N/A	-1.227	-0.771	N/A	-0.199
ESR2	2.581	1.998	2.581	-1.4	-0.447	1.89	-0.558	0.152	-1.303	-1.809
troglitazone	2.821	2.821	2.821	N/A	N/A	N/A	N/A	-2.494	-1.265	-2.474
FOXO1	3.108	2.782	2.22	-1.304	-1.935	N/A	N/A	-1.726	-0.581	-0.91
LY294002	-2.916	-2.748	-3.181	1.706	N/A	1.283	0.001	0.574	-1.18	-0.767
WNT5A	-2.429	-2.434	-2.429	N/A	N/A	2.215	N/A	1.362	-1.977	-1.126
IL1B	2.573	2.755	2.617	N/A	N/A	-2.608	-2.425	N/A	N/A	0.964
GW9662	-2.607	-2.412	-2.607	N/A	N/A	N/A	0.882	1.969	1.195	2.2
RNF187	-2.759	-2.759	-2.578	N/A	N/A	N/A	N/A	2.176	1.406	1.949
MEF2C	2.39	2.39	2.39	N/A	N/A	2.177	-0.447	N/A	-1.408	-2.39
beta-estradiol	2.177	2.184	1.36	-0.73	-0.736	-1.797	-1.424	-2.467	0.508	-0.095
FOXO3	2.603	2.408	1.728	N/A	-1.99	N/A	N/A	N/A	-2.388	-1.948
tetradecanoylphorbol acetate	2.693	2.988	2.342	-0.475	-2.738	N/A	N/A	-0.645	0.951	0.23
RELA	2.312	2.312	2.126	N/A	-2.219	N/A	N/A	-1.157	-1.747	-0.895
10E,12Z-octadecadienoic acid	1.8	1.8	1.572	N/A	-2.213	N/A	-1.732	-1.325	-1.363	-0.927
CEBPB	3.026	2.701	2.527	N/A	-2.6	N/A	N/A	-0.647	-0.074	-0.97
meds433	3.0	2.828	2.828	N/A	N/A	N/A	-1.633	-1.414	0.0	-0.816
cisplatin	3.279	3.311	3.364	N/A	-0.749	N/A	0.004	-0.968	-0.061	-0.775
SREBF1	2.029	2.029	1.829	N/A	N/A	N/A	-1.782	-2.161	-1.35	-1.28
TGFB1	2.116	1.808	1.549	-0.985	-1.962	-1.778	N/A	-1.244	0.769	N/A
EGF	2.783	2.93	2.598	N/A	N/A	-0.871	N/A	-2.353	0.401	N/A
AR	2.373	2.668	2.333	N/A	-0.863	-1.117	-0.303	-1.105	0.862	0.136
PG3-Oc	2.76	2.385	2.176	N/A	N/A	N/A	-1.941	-2.385	N/A	N/A
5-fluorouracil	2.206	2.008	1.795	N/A	N/A	N/A	-2.58	-2.126	N/A	-0.889
OLFM4-RET	2.646	2.646	2.646	N/A	N/A	N/A	N/A	1.633	N/A	2.0
TP73	2.926	2.728	1.771	N/A	N/A	N/A	-2.016	-1.417	-0.652	N/A
SMAD4	2.095	1.833	1.405	-2.216	-2.411	N/A	N/A	-0.955	N/A	-0.491
PLX5622	-2.408	-2.408	-2.607	N/A	N/A	N/A	2.2	0.301	0.882	0.44
8-bromo-cAMP	2.488	2.883	1.949	N/A	-2.433	N/A	-0.793	-0.234	-0.262	0.16
medroxyprogesterone acetate	1.941	1.155	1.265	N/A	-1.342	N/A	-1.633	-1.414	-2.449	N/A
poly rI:rC-RNA	2.064	2.556	2.408	N/A	-1.664	N/A	N/A	-2.387	N/A	N/A
LEP	1.947	1.461	1.748	-1.894	-2.416	N/A	-0.108	0.264	0.792	0.379
CDK19	-2.828	-2.646	-2.236	N/A	N/A	N/A	1.342	1.89	N/A	N/A
forskolin	1.968	3.158	2.19	0.555	-1.775	N/A	N/A	0.17	0.438	0.609
CG	2.513	3.143	1.839	N/A	N/A	-1.766	N/A	N/A	1.016	0.552
KLF6	2.017	1.582	1.482	-1.982	-2.219	N/A	N/A	-0.244	-1.294	N/A
RASSF1	1.982	0.97	1.982	N/A	N/A	N/A	-1.982	N/A	-1.953	-1.941
nitric oxide	2.574	2.377	2.377	N/A	N/A	-1.0	N/A	-1.929	0.094	-0.305
PPARGC1A	1.547	1.219	1.547	N/A	N/A	2.171	0.153	-0.844	-1.184	-1.831
HIF1A	1.996	1.996	1.996	-1.616	N/A	0.388	0.498	0.533	0.431	0.997
pioglitazone	1.85	1.85	1.85	N/A	N/A	N/A	0.655	-1.808	-0.818	-1.588
interferon alpha	2.733	2.733	2.91	N/A	N/A	N/A	-0.289	-1.523	0.141	N/A
alitretinoin	1.8	1.8	2.398	N/A	N/A	N/A	-1.179	-2.173	-0.119	-0.658
