© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
Pathogen Induced Cytokine Storm Signaling Pathway	4.146	4.899	5.0	3.873	4.0	0.243	2.111	2.982	2.5	2.668
Phagosome Formation	5.196	5.657	5.657	4.123	4.243	-0.471	0.229	0.447	0.688	1.147
S100 Family Signaling Pathway	5.292	5.916	5.831	4.359	4.123	-0.728	-0.5	0.447	0.0	0.471
Molecular Mechanisms of Cancer	5.0	5.657	5.568	3.742	4.0	0.243	0.243	1.414	0.258	1.0
CREB Signaling in Neurons	4.747	5.24	5.145	4.0	2.673	-0.728	0.0	1.091	0.5	1.0
Neutrophil degranulation	3.5	4.359	4.123	3.742	3.606	-0.832	0.277	1.265	1.89	1.387
Wound Healing Signaling Pathway	3.441	3.71	3.71	2.53	2.887	1.387	2.121	2.673	1.265	1.155
Synaptogenesis Signaling Pathway	4.123	4.583	4.583	2.828	3.742	2.111	1.291	1.155	-0.333	0.0
Irritable Bowel Syndrome Signaling Pathway	1.667	3.464	3.606	3.0	3.317	0.0	1.89	1.134	1.897	1.265
BBSome Signaling Pathway	4.243	4.583	4.472	3.0	3.162	0.0	0.277	0.277	0.577	0.577
Class A/1 (Rhodopsin-like receptors)	2.828	3.464	3.317	2.828	2.828	-1.89	-0.447	0.632	1.667	1.0
GP6 Signaling Pathway	3.606	3.742	3.742	2.449	2.449	0.0	0.0	1.897	0.447	1.89
Adrenomedullin signaling pathway	2.53	3.317	3.317	2.449	2.236	-0.816	N/A	1.633	1.342	2.449
Cardiac Hypertrophy Signaling (Enhanced)	3.357	4.025	3.9	2.714	2.333	-0.333	-0.302	0.577	1.414	1.134
Neuropathic Pain Signaling in Dorsal Horn Neurons	3.317	3.606	3.606	2.449	2.449	1.414	0.707	0.707	-1.0	0.447
O-linked glycosylation	2.828	3.0	3.0	2.236	2.236	N/A	1.342	2.0	1.633	1.342
G-Protein Coupled Receptor Signaling	3.78	3.795	3.893	2.982	2.982	-0.894	-0.209	0.0	0.471	0.447
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.496	3.5	3.638	3.317	2.333	-1.0	0.333	0.632	0.707	1.414
Pulmonary Fibrosis Idiopathic Signaling Pathway	3.317	3.317	3.317	2.0	2.449	1.414	N/A	2.449	0.0	0.816
Breast Cancer Regulation by Stathmin1	3.411	3.657	3.53	2.673	3.051	-1.069	0.0	0.0	1.069	0.5
Interleukin-1 family signaling	2.236	2.646	2.646	2.236	2.449	1.0	1.633	2.0	1.0	1.0
Neurovascular Coupling Signaling Pathway	2.309	2.84	2.84	2.121	2.646	1.897	1.134	1.667	0.0	1.342
Serotonin Receptor Signaling	3.153	4.2	4.2	2.673	2.714	-0.535	0.277	0.0	0.707	-0.302
Calcium Signaling	3.162	3.464	3.464	2.646	2.236	1.134	1.633	0.816	0.0	N/A
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	3.0	3.3	3.3	2.646	2.309	1.155	0.0	1.265	-1.0	0.333
Hepatic Cholestasis	2.309	3.051	2.673	2.646	1.414	1.0	1.134	2.121	0.816	1.134
Extracellular matrix organization	3.317	3.317	3.317	2.0	2.236	-0.378	0.447	1.134	1.134	0.707
Parkinson's Signaling Pathway	2.496	3.357	3.5	2.828	2.646	0.905	0.905	1.265	0.0	0.0
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	1.633	2.646	2.646	2.236	2.236	0.447	2.0	2.0	1.0	1.0
Hepatic Fibrosis Signaling Pathway	1.508	2.324	2.324	2.333	1.89	-1.508	1.342	1.265	1.633	1.667
Cachexia Signaling Pathway	2.138	2.668	2.828	2.53	1.897	0.0	0.905	1.387	1.265	1.941
G alpha (i) signalling events	3.0	3.317	3.317	2.236	2.828	0.0	0.378	1.633	-0.816	0.0
Activin Inhibin Signaling Pathway	1.414	2.333	2.53	2.236	2.236	-0.378	2.0	1.134	1.342	1.89
Lung Ionic Balance Signaling Pathway	3.545	3.53	3.4	1.941	1.897	-0.277	0.775	0.5	1.069	0.535
Acetylcholine Receptor Signaling Pathway	3.317	3.742	3.742	2.646	2.0	-1.134	-0.447	-0.378	0.0	0.0
SNARE Signaling Pathway	2.828	3.317	3.317	2.236	2.646	0.816	1.134	0.447	-0.447	0.0
Synaptic Long Term Potentiation	3.0	3.317	3.317	2.236	2.236	1.134	0.378	0.378	-1.0	N/A
