© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
lipopolysaccharide	2.064	5.546	4.796	4.936	3.855	3.599	6.137	6.217	5.761	5.582
TNF	1.08	4.196	3.784	3.907	3.268	2.972	4.621	4.539	3.363	3.945
IL1B	0.881	3.525	3.144	3.43	2.79	2.216	4.283	4.262	3.362	4.006
SB203580	-1.642	-3.703	-3.307	-3.045	-2.697	-3.025	-4.069	-4.069	-2.875	-3.152
CG	1.851	3.641	3.508	1.929	3.121	2.747	3.632	3.505	3.362	3.501
STAT3	1.898	3.749	3.111	2.909	N/A	2.481	4.115	4.115	3.89	4.009
NFkB (complex)	0.64	3.4	3.106	3.243	2.783	2.79	3.54	3.54	3.224	3.25
tretinoin	0.973	3.427	3.504	2.438	1.394	3.564	3.852	3.794	2.903	2.964
CEBPB	0.822	3.342	3.222	2.946	2.595	2.556	3.479	3.479	2.918	3.034
AGT	1.124	2.448	3.203	1.892	1.904	2.751	3.697	3.715	3.655	3.677
CHUK	-0.154	3.124	2.983	2.802	2.456	2.152	3.563	3.693	2.971	3.28
dimethyl n-oxalyl-glycine	1.964	2.905	3.138	1.982	N/A	2.425	3.503	3.503	3.363	3.363
poly rI:rC-RNA	1.335	3.266	3.091	2.921	N/A	1.997	3.535	3.535	2.904	3.502
HIF1A	1.195	2.914	2.713	2.107	2.089	0.955	3.281	3.413	3.594	3.73
bleomycin	0.845	2.896	2.372	2.382	2.382	2.417	3.222	3.222	2.732	3.212
IL1	0.927	2.906	2.729	2.692	2.627	2.029	2.977	2.815	2.37	3.245
PD98059	N/A	-3.248	-3.108	-2.582	N/A	-2.943	-3.674	-3.674	-2.959	-3.115
F2	0.657	3.048	2.912	2.746	2.385	2.37	3.048	3.048	2.528	2.547
IL1A	0.88	2.847	2.41	2.313	1.91	2.731	3.292	3.266	2.427	3.112
L-triiodothyronine	0.687	2.722	2.777	2.574	2.021	2.731	3.324	3.324	2.336	2.443
KLF6	0.685	2.913	2.759	2.577	2.164	2.377	3.073	3.073	2.567	2.745
FGF2	1.969	2.719	2.883	1.941	2.527	2.067	2.744	2.744	2.219	3.0
interferon alpha	1.775	2.768	2.401	2.429	1.755	2.102	2.943	2.943	2.418	2.943
BHLHE40	1.664	2.72	2.704	2.236	2.0	2.945	3.208	3.208	1.599	1.811
TWIST1	0.651	2.762	2.574	2.182	1.94	2.753	3.087	3.087	2.4	2.574
IL4	0.817	2.51	2.359	2.755	2.736	2.425	2.474	2.744	2.674	2.333
SMARCA4	0.64	2.335	2.874	2.333	2.828	1.667	2.848	3.004	2.335	2.685
FOXA1	-0.805	-2.926	-2.758	-2.391	-2.391	N/A	-3.086	-3.086	-2.926	-3.086
PDGF-BB	0.127	2.805	2.03	2.802	1.633	2.088	2.975	2.97	2.856	2.856
THZ1	N/A	-2.646	-2.646	-2.449	-2.236	-1.134	-3.0	-3.0	-3.0	-2.828
SP600125	-0.208	-2.546	-2.347	-2.347	-2.562	-2.551	-2.888	-2.888	-2.179	-1.98
JUN	0.943	2.155	2.101	2.008	1.741	1.644	2.914	2.914	2.764	3.242
cisplatin	0.029	2.74	2.139	2.42	2.145	1.704	2.805	2.962	2.37	3.106
VEGFA	N/A	2.606	1.742	2.2	2.416	1.951	2.958	2.958	2.592	2.592
EGF	0.815	2.851	1.671	1.997	1.612	2.009	2.641	2.641	2.594	2.851
IL17A	0.874	2.539	1.794	2.524	N/A	1.465	3.158	3.158	2.999	3.158
ethanol	-0.053	2.207	2.657	2.176	2.783	1.671	3.0	3.0	1.459	2.344
IKBKB	N/A	2.439	2.008	2.434	2.027	1.869	2.517	2.674	2.775	2.607
STAT4	N/A	2.805	2.434	2.233	2.434	N/A	2.97	2.97	2.613	2.797
tetradecanoylphorbol acetate	-0.656	2.422	1.362	2.878	1.785	1.654	2.698	2.531	2.863	2.324
IKBKG	N/A	2.321	2.223	1.98	1.98	1.732	2.714	2.887	2.524	2.711
decitabine	2.542	2.238	2.568	0.756	1.571	1.967	3.09	3.09	1.15	2.085
TLR3	1.099	2.373	2.181	1.94	1.94	1.94	2.373	2.373	2.157	2.373
NFkB (family)	N/A	2.534	2.367	2.158	2.158	2.158	2.534	2.534	2.151	2.151
AR	-0.648	2.33	3.03	2.153	2.185	2.549	2.456	2.207	1.521	1.535
HNF1A	N/A	2.433	2.63	1.664	2.219	2.433	2.63	2.63	1.982	1.982
doxorubicin	2.155	2.881	2.889	N/A	N/A	2.91	3.033	3.033	1.572	2.113
Salmonella enterica serotype abortus equi lipopolysaccharide	0.346	2.4	2.213	1.98	1.98	1.387	2.772	2.772	2.194	2.4
24-hydroxycholesterol	N/A	-2.236	-2.0	-2.0	-2.0	-2.449	-2.646	-2.646	-2.0	-2.449
medroxyprogesterone acetate	2.219	2.138	1.929	1.633	1.342	1.929	2.538	2.538	1.89	2.138
APOE	-1.029	-2.121	-2.083	-1.674	-1.448	-1.885	-2.303	-2.303	-2.598	-2.775
IL2	1.706	2.861	N/A	N/A	N/A	2.751	3.337	3.337	3.027	3.027
phytohemagglutinin	0.169	2.375	2.369	2.156	N/A	2.369	2.923	3.086	2.375	2.149
STING1	1.818	2.765	2.425	N/A	N/A	2.19	2.765	2.765	2.399	2.765
IFNG	0.137	2.291	1.643	2.855	2.052	1.403	2.488	2.554	1.506	2.922
SMARCB1	N/A	2.563	2.366	2.153	N/A	2.373	2.749	2.749	2.366	2.366
S100A9	N/A	2.357	1.671	2.414	1.964	1.671	2.357	2.357	2.186	2.586
mifepristone	-1.414	-2.331	-2.688	-1.066	-0.896	-2.704	-2.573	-2.573	-1.554	-1.69
VEGF	2.183	2.382	1.616	1.912	N/A	1.32	2.382	2.557	2.382	2.736
NFKB1	1.086	2.249	1.769	1.769	1.486	1.486	2.249	2.249	2.419	2.616
SPRY2	-2.2	-2.414	-2.611	N/A	N/A	-2.0	-2.611	-2.611	-2.414	-2.414
vidutolimod	1.342	2.449	2.0	2.0	N/A	1.633	2.646	2.646	2.0	2.449
ARNT	1.95	2.191	2.191	1.953	N/A	1.95	2.191	2.191	2.191	2.191
diethylstilbestrol	1.133	1.957	2.119	2.165	2.186	2.165	2.018	2.018	1.224	1.997
C3	N/A	1.955	1.962	1.962	1.962	1.962	2.386	2.386	1.922	2.386
E. coli B4 lipopolysaccharide	N/A	2.186	1.949	2.164	2.164	1.485	2.186	2.186	2.132	2.335
LIF	0.756	2.087	2.2	1.4	1.964	1.964	2.313	2.313	1.89	1.89
IGF1	2.049	1.654	2.221	0.54	2.586	2.332	1.983	1.983	1.49	1.915
bisphenol A	0.962	2.278	2.087	2.087	N/A	2.087	2.669	2.481	1.78	2.041
RRAS2	N/A	2.449	2.449	2.236	N/A	1.342	2.646	2.646	2.449	2.236
HMG20A	N/A	2.828	2.236	2.236	N/A	N/A	2.828	2.828	2.646	2.828
RELA	0.617	2.268	1.904	1.779	1.991	1.989	2.268	2.268	1.512	1.716
NOTCH3	1.342	2.236	1.633	1.0	N/A	1.912	2.63	2.63	2.646	2.236
APP	N/A	2.106	1.588	2.475	1.82	1.768	2.176	2.176	1.988	2.162
TGFB1	1.257	1.64	1.675	1.622	N/A	1.164	2.075	2.075	3.663	2.966
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	0.246	2.208	1.741	1.706	2.2	1.741	2.208	2.208	1.516	1.991
ESRRA	0.351	2.159	2.339	1.48	1.671	1.406	2.365	2.365	1.775	1.723
SFTPA1	0.0	-2.236	-2.0	-2.0	N/A	-2.0	-2.449	-2.449	-2.236	-2.236
15-deoxy-delta-12,14 -PGJ 2	N/A	-2.148	-2.146	-2.207	-1.734	-2.044	-2.099	-2.099	-1.474	-1.623
dexamethasone	0.426	1.421	1.539	1.687	1.653	1.889	2.244	2.402	2.597	1.7
OSM	1.419	2.1	1.509	2.01	1.201	1.27	2.02	2.206	1.77	2.02
docosahexaenoic acid	N/A	-2.192	N/A	-1.951	-1.951	-2.186	-2.404	-2.404	-2.192	-2.192
ERK1/2	0.984	2.258	1.98	1.6	N/A	1.765	2.433	2.433	1.511	2.376
SLC15A4	1.172	2.425	2.219	N/A	N/A	1.982	2.425	2.425	2.213	2.425
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol	N/A	2.236	2.236	2.236	2.0	N/A	2.236	2.236	2.0	2.0
enterotoxin B	1.217	2.387	2.219	N/A	N/A	1.982	2.387	2.387	2.177	2.387
C5	N/A	2.218	1.982	1.982	N/A	1.982	2.218	2.218	2.218	2.218
FN1	0.531	2.073	2.299	1.413	N/A	2.299	2.269	2.269	1.948	1.862
PKC	1.491	2.207	2.201	0.365	N/A	1.969	2.607	2.607	1.446	1.969
fluticasone propionate	0.963	1.995	1.67	1.578	1.655	1.154	1.8	1.979	1.977	2.029
EPAS1	1.98	2.428	2.218	N/A	N/A	2.218	2.2	2.2	1.741	1.741
IL33	0.045	1.897	1.391	1.934	1.934	1.726	2.083	2.083	1.897	1.701
MAP3K8	1.073	2.043	1.327	1.206	N/A	1.724	2.401	2.401	2.226	2.226
miR-17-5p (and other miRNAs w/seed AAAGUGC)	-0.865	-2.408	-1.706	N/A	N/A	-1.706	-2.408	-2.599	-2.408	-2.408
CAMP	N/A	2.031	1.959	2.17	N/A	1.566	2.237	2.237	2.031	2.237
sirolimus	-2.53	-2.183	-1.324	-1.0	N/A	-0.124	-2.183	-2.183	-2.177	-2.692
8-bromo-cAMP	N/A	2.379	1.723	1.673	N/A	1.723	2.4	2.4	2.036	2.036
bucladesine	1.628	2.355	2.133	N/A	N/A	1.435	2.53	2.53	1.896	1.853
IL27	1.265	2.214	N/A	2.0	N/A	1.342	2.429	2.429	2.214	2.429
ANGPT2	1.117	1.993	1.406	2.148	N/A	1.406	2.187	1.993	1.92	2.14
N-acetyl-L-cysteine	N/A	-2.584	-1.947	N/A	N/A	-1.72	-2.584	-2.763	-2.197	-2.408
MAPK14	0.958	2.386	N/A	1.967	1.967	2.185	2.386	2.386	1.956	N/A
dihydrotestosterone	0.792	1.955	2.244	N/A	N/A	1.55	2.667	2.518	1.997	2.435
NLRX1	-1.039	-2.392	-1.741	N/A	N/A	-1.432	-2.392	-2.392	-2.376	-2.392
ADAM12	N/A	-2.049	-2.049	-1.522	-1.522	-0.585	-2.049	-2.049	-2.049	-2.049
PRKAA1	-0.97	-1.706	-1.58	-0.816	-1.134	-1.488	-2.52	-2.131	-1.616	-1.876
cardiotoxin	N/A	N/A	2.236	2.0	2.0	2.236	2.449	2.449	N/A	2.236
TRAF3IP2	N/A	2.354	1.951	1.951	N/A	N/A	2.354	2.354	2.354	2.148
trichostatin A	2.072	1.932	2.407	0.202	N/A	1.057	2.096	2.335	1.769	1.361
estrogen receptor	N/A	2.144	1.905	1.911	1.911	1.413	1.905	1.905	1.0	1.126
aspirin	N/A	-1.826	-1.4	-1.964	N/A	-1.091	-2.058	-2.058	-2.353	-2.353
GFI1	-1.0	-2.449	-2.236	N/A	N/A	-2.236	-2.449	-2.449	-2.236	N/A
IL6	-0.244	1.787	0.721	1.655	1.644	0.977	2.115	2.289	1.621	1.997
LEF1	-1.0	N/A	N/A	2.0	2.236	N/A	2.449	2.449	2.449	2.449
NLRP3	1.794	1.964	1.694	N/A	N/A	1.38	1.964	1.964	1.888	2.357
CYP7B1	-0.447	-2.236	-2.0	-1.342	-1.342	-2.0	-1.89	-1.89	-0.816	-1.0
ASPSCR1-TFE3	N/A	2.236	2.236	N/A	N/A	2.0	2.236	2.236	2.0	2.0
CXCL12	1.833	1.737	1.516	-0.808	N/A	0.715	2.406	2.406	1.295	2.21
NPM1	N/A	1.412	1.412	1.121	1.121	1.412	2.327	2.327	1.89	1.89
TGF beta	1.985	1.649	1.091	N/A	N/A	0.956	2.244	2.244	2.057	2.572
cobalt chloride	1.937	2.18	1.945	N/A	N/A	N/A	2.18	2.18	2.18	2.18
NFAT (family)	N/A	1.89	1.89	2.236	1.633	1.342	1.89	1.89	2.0	N/A
AGER	N/A	2.224	1.993	N/A	N/A	1.993	2.224	2.224	1.997	1.997
beta-estradiol	-0.116	1.647	1.011	1.344	1.243	1.699	2.514	2.178	1.371	1.492
HOXA10	N/A	-2.0	-1.134	-2.449	N/A	0.0	-2.121	-2.121	-2.121	-2.646
TNFRSF1A	N/A	2.197	1.959	1.959	N/A	1.959	2.197	2.197	1.996	N/A
camptothecin	N/A	2.0	2.138	1.633	1.633	1.664	2.0	2.0	0.762	0.412
Cdkn2a	N/A	1.633	2.0	1.342	1.342	1.0	1.633	1.633	2.0	1.633
cigarette smoke	N/A	2.008	2.226	1.75	N/A	1.454	2.008	2.008	1.187	1.509
sulforafan	-0.931	-1.976	-1.706	-1.154	-1.154	-1.706	-1.976	-1.976	N/A	-1.522
mir-146 (includes others)	-0.399	-1.715	-1.397	-1.969	N/A	-1.969	-1.715	-1.715	-1.715	-1.46
AIM2	N/A	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	N/A	N/A
FcER1	0.883	2.215	1.985	N/A	N/A	N/A	2.215	2.215	2.215	2.215
insulin	1.926	1.398	1.712	0.556	0.588	1.43	1.396	1.396	1.672	1.817
LDL	0.811	2.049	1.835	N/A	N/A	2.388	2.049	2.049	1.231	1.454
PRKAA2	N/A	-1.671	-1.915	N/A	N/A	-1.4	-2.611	-2.611	-1.633	-2.0
SSTR2	N/A	-2.236	-1.342	N/A	N/A	-1.342	-2.236	-2.449	-2.0	-2.236
SOX9	N/A	2.0	N/A	2.0	N/A	N/A	2.449	2.449	2.449	2.449
GRN	N/A	-2.025	-1.953	N/A	N/A	-1.953	-2.025	-2.025	-1.776	-2.025
TGFA	1.462	1.76	1.143	1.072	N/A	1.143	1.988	1.76	1.723	1.723
MAPK9	0.747	1.793	0.973	0.958	0.958	1.516	1.793	1.28	2.2	1.516
MMP9	-0.105	1.6	1.633	1.342	1.342	1.342	1.863	1.863	1.3	1.3
GATA3	-0.775	-1.14	-2.216	-1.477	N/A	-2.2	-1.7	-1.7	-1.237	-1.237
ORAI1	0.861	2.2	1.432	1.067	N/A	1.067	1.8	1.58	1.8	1.8
BRD4	N/A	2.201	N/A	N/A	N/A	1.98	2.607	2.607	1.787	2.418
forskolin	1.191	1.988	1.351	1.515	0.726	1.469	1.645	1.443	1.335	0.924
