© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
Multiple Sclerosis Signaling Pathway	3.0	3.742	3.742	3.317	3.464	2.449	3.317	3.606	3.0	2.496
Molecular Mechanisms of Cancer	3.317	3.742	3.742	3.0	3.0	2.121	3.606	3.742	2.828	2.828
Irritable Bowel Syndrome Signaling Pathway	3.0	3.464	3.464	3.317	3.317	1.633	3.317	3.464	3.317	3.317
S100 Family Signaling Pathway	2.84	3.771	3.771	2.53	3.051	2.111	3.5	3.771	3.0	2.828
Parkinson's Signaling Pathway	3.162	3.464	3.606	2.828	3.162	2.236	3.162	3.606	2.828	3.0
Pathogen Induced Cytokine Storm Signaling Pathway	2.828	3.464	3.464	3.317	3.464	2.0	3.162	3.464	2.53	3.317
Autism Signaling Pathway	3.0	3.317	3.464	2.828	2.828	2.449	3.162	3.464	2.828	3.0
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.714	3.317	3.317	3.0	3.0	1.89	3.162	3.317	3.0	3.0
Phagosome Formation	3.0	3.464	3.606	2.646	3.162	2.646	3.162	3.606	2.0	2.0
Neutrophil degranulation	2.646	3.464	3.464	2.646	3.162	1.134	3.317	3.317	2.828	3.162
CREB Signaling in Neurons	2.333	3.464	3.464	2.646	3.162	2.121	3.162	3.464	2.0	2.236
Hematoma Resolution Signaling Pathway	-2.646	-3.162	-3.162	-3.0	-3.162	-2.0	-2.828	-3.162	-2.646	-2.121
Cachexia Signaling Pathway	3.0	3.162	3.162	2.646	2.828	2.0	3.0	3.0	2.646	2.333
Hepatic Fibrosis Signaling Pathway	3.0	3.162	3.162	2.236	2.828	2.236	3.0	3.162	2.449	2.449
IL-17 Signaling	2.449	2.828	2.828	2.828	2.828	2.0	2.828	2.828	2.828	2.828
Class A/1 (Rhodopsin-like receptors)	2.0	3.162	3.162	2.646	3.0	2.236	3.162	3.162	2.236	2.0
Cardiac Hypertrophy Signaling (Enhanced)	2.333	3.0	3.0	2.828	2.646	1.134	3.0	3.0	2.828	2.828
Dendritic Cell Maturation	2.121	3.0	3.0	2.828	3.0	1.342	2.828	3.0	2.646	2.828
Macrophage Classical Activation Signaling Pathway	2.449	3.0	3.0	2.828	3.0	N/A	2.828	3.0	2.828	2.828
Glycation Signaling Pathway	2.333	2.53	2.53	2.646	2.646	2.0	2.53	2.53	2.333	2.333
Hepatic Cholestasis	2.333	2.53	2.53	2.646	2.646	1.633	2.333	2.53	2.646	2.449
NAFLD Signaling Pathway	2.646	2.828	2.828	2.449	2.646	N/A	2.646	2.828	2.646	2.646
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	2.449	2.646	2.828	2.0	2.646	1.0	2.449	2.646	2.646	2.449
Interleukin-10 signaling	2.236	2.646	2.646	2.646	2.646	N/A	2.646	2.646	2.646	2.646
G alpha (i) signalling events	N/A	3.162	3.162	2.828	3.0	2.449	3.162	3.162	2.0	N/A
Wound Healing Signaling Pathway	2.646	2.333	2.333	2.121	2.646	2.236	2.121	2.333	1.414	2.121
CGAS-STING Signaling Pathway	2.236	2.449	2.449	2.449	2.449	N/A	2.449	2.449	2.449	2.449
Sleep REM Signaling Pathway	-2.236	-2.449	-2.449	-2.449	-2.449	N/A	-2.449	-2.449	-2.449	-2.449
Erythropoietin Signaling Pathway	-2.236	-2.449	-2.449	-2.449	-2.449	N/A	-2.449	-2.449	-2.449	-2.449
HMGB1 Signaling	2.236	2.449	2.449	2.236	2.449	N/A	2.449	2.449	2.449	2.449
IL-33 Signaling Pathway	2.236	2.449	2.449	2.236	2.449	N/A	2.449	2.449	2.449	2.449
