© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
lipopolysaccharide	5.285	5.497	5.381	4.236	5.231	3.983	5.558	5.215	4.515	4.345
IL1B	5.044	5.225	5.225	4.454	4.53	2.575	5.057	5.225	4.723	5.239
TNF	4.158	4.821	4.672	4.497	4.46	2.526	4.861	4.71	4.298	4.641
NFkB (complex)	4.345	4.748	4.845	3.369	3.876	2.784	4.642	4.748	4.231	4.546
tetradecanoylphorbol acetate	4.363	4.741	4.588	3.124	3.906	2.525	4.795	4.588	3.663	3.834
IL1A	3.98	4.429	4.429	3.79	3.766	1.605	4.221	4.429	4.122	4.319
LY294002	-3.288	-4.316	-4.202	-3.625	-3.721	-1.899	-4.085	-4.316	-3.962	-4.087
SB203580	-4.027	-4.355	-4.355	-3.222	-3.614	-2.2	-4.129	-4.355	-3.399	-3.772
CHUK	3.376	4.126	4.126	3.665	3.537	2.2	3.881	4.126	3.493	3.756
IL1	3.228	3.762	3.762	3.629	3.556	2.481	3.724	3.762	4.03	4.03
poly rI:rC-RNA	4.282	3.937	3.937	3.023	3.455	3.118	4.114	3.817	3.332	2.898
IKBKB	3.259	3.659	3.784	2.929	3.076	1.607	3.529	3.659	3.659	3.65
tretinoin	3.085	3.587	3.587	3.243	3.371	2.241	3.467	3.587	3.176	3.234
cisplatin	3.149	3.788	3.788	3.296	3.522	1.197	3.438	3.788	3.143	3.409
SMARCA4	3.0	3.873	4.0	3.162	3.162	0.816	3.606	4.0	3.162	3.464
IL17A	3.175	3.631	3.631	3.124	3.31	1.496	3.452	3.631	3.353	3.251
CTNNB1	3.332	3.588	3.588	2.843	2.679	2.25	3.452	3.588	3.311	3.311
RELA	2.773	3.509	3.646	3.063	3.101	1.316	3.384	3.646	3.739	3.751
Salmonella enterica serotype abortus equi lipopolysaccharide	3.113	3.552	3.552	2.952	3.112	2.18	3.265	3.552	3.265	3.111
CSF2	3.12	3.542	3.542	3.213	3.276	2.135	3.12	3.542	3.042	2.936
OSM	2.156	3.622	3.622	3.07	3.855	2.014	3.502	3.622	2.747	3.02
TGM2	2.985	3.592	3.592	2.828	3.317	1.633	3.148	3.592	2.813	3.148
