© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
lipopolysaccharide	3.783	3.624	2.525	2.195	-0.325	1.259	1.059	1.44
tetradecanoylphorbol acetate	3.917	3.538	2.849	2.129	-0.866	0.674	1.062	0.956
YBX1	2.621	2.621	2.621	2.219	N/A	1.982	1.432	1.432
dexamethasone	-2.299	-2.353	-2.485	-1.609	-1.287	-2.062	-2.144	-0.559
EGF	3.779	3.379	2.771	1.397	N/A	1.347	1.272	0.628
p38 MAPK	2.568	2.568	2.568	1.932	N/A	2.166	1.608	1.081
IL17A	2.413	2.295	1.898	2.358	N/A	1.678	1.584	2.051
IL1B	3.438	3.167	2.69	2.105	0.188	1.0	0.711	0.868
STING1	2.599	2.599	1.97	1.98	N/A	1.225	1.744	1.744
poly rI:rC-RNA	2.763	2.6	2.599	1.811	N/A	1.446	1.271	1.035
STAT3	2.27	1.652	1.431	N/A	1.067	2.213	2.8	1.803
Pam3-Cys-Ser-Lys4	2.425	2.425	2.219	1.98	N/A	1.982	1.387	0.728
IL1	2.907	2.364	1.934	1.117	N/A	1.109	1.727	1.727
IL33	2.755	2.375	2.0	1.928	N/A	1.94	0.928	0.928
TGF beta	-2.401	-2.401	-1.954	N/A	N/A	-2.2	-1.951	-1.467
NFkB (complex)	2.369	2.369	2.156	N/A	N/A	1.922	1.672	1.672
LY294002	-1.815	-2.058	-2.184	-1.941	N/A	-1.174	-1.68	-0.9
SB203580	-2.952	-2.607	-2.415	-2.215	N/A	-0.068	-0.558	0.768
TNF	2.985	2.53	2.465	1.483	0.232	1.22	0.4	0.186
decitabine	2.975	2.433	1.937	0.896	-1.172	0.555	0.447	0.896
CFI-402257	2.213	1.98	1.98	1.98	N/A	N/A	1.432	1.432
IL4	2.226	1.846	1.649	1.666	N/A	1.687	0.679	0.679
IFNG	2.835	2.619	1.528	0.927	0.438	-0.029	-0.503	-1.49
NFKBIA	1.977	1.756	1.516	N/A	N/A	2.2	1.253	1.516
beta-estradiol	2.912	2.194	0.794	-0.61	0.227	-0.6	1.681	0.995
IL1A	1.699	2.369	2.369	N/A	N/A	1.952	1.156	0.432
doxorubicin	2.78	2.594	0.728	0.97	N/A	0.436	1.616	0.692
forskolin	2.104	1.561	2.156	N/A	N/A	1.71	1.234	1.04
IL13	1.868	1.385	1.582	0.894	N/A	1.783	0.919	1.209
peptidoglycan	1.915	1.915	1.915	N/A	N/A	N/A	1.915	1.915
OSM	1.949	2.354	1.729	N/A	N/A	N/A	1.928	1.491
AGT	2.896	2.357	0.0	N/A	N/A	-0.577	2.121	1.414
HGF	1.822	1.559	1.503	1.432	N/A	0.577	1.452	1.016
TGFB1	1.9	1.884	0.222	0.075	-1.709	0.678	0.817	1.993
MYD88	2.401	2.401	1.961	N/A	N/A	1.4	0.686	0.0
SP600125	-2.236	-2.0	-1.342	-1.0	N/A	N/A	-1.342	-0.816
IL6	2.765	2.407	1.956	N/A	N/A	N/A	1.283	0.163
IL1R	2.414	1.964	1.964	N/A	N/A	N/A	1.091	1.091
CSF2	1.814	2.387	1.944	1.202	N/A	1.154	N/A	N/A
dihydrotestosterone	1.98	1.4	N/A	N/A	-0.2	-1.4	1.98	1.477
NFE2L2	2.076	1.845	1.921	0.581	N/A	1.158	0.162	0.599
TP53	2.239	1.508	0.586	-0.994	-0.917	-0.967	0.416	-0.647
MIR31HG	2.236	2.0	2.0	N/A	N/A	N/A	1.0	1.0
VEGF	2.2	1.982	N/A	N/A	N/A	N/A	1.964	1.964
8-bromo-cAMP	2.164	2.0	N/A	N/A	N/A	1.732	N/A	1.929
medroxyprogesterone acetate	1.195	1.664	0.152	N/A	N/A	1.982	0.686	1.982
VEGFA	2.433	2.219	1.664	N/A	N/A	N/A	1.109	-0.152
LDL	2.164	2.164	1.929	N/A	N/A	N/A	N/A	1.117
CG	2.187	1.414	1.249	N/A	-0.357	-0.776	1.023	0.307
rosiglitazone	1.947	1.947	1.109	-0.152	N/A	-0.436	1.385	-0.302
salmonella minnesota R595 lipopolysaccharides	1.964	1.964	N/A	N/A	N/A	1.091	1.091	1.091
U0126	-1.537	-0.951	-1.287	-0.927	N/A	N/A	-0.883	-1.575
TP63	1.261	1.118	1.0	0.762	N/A	0.882	N/A	2.133
NPM1	2.0	2.0	1.0	0.577	N/A	N/A	0.577	-1.0
ARID1A	0.728	0.728	-0.927	-0.849	N/A	-1.98	-1.067	-0.808
TREM1	1.4	0.728	1.0	0.728	N/A	N/A	2.0	1.0
ERK1/2	1.081	0.787	1.453	1.453	N/A	N/A	0.577	1.501
bleomycin	2.408	2.201	N/A	1.506	N/A	N/A	N/A	-0.73
phytohemagglutinin	1.982	1.982	N/A	N/A	N/A	N/A	1.387	1.387
ERK	1.964	1.698	1.067	0.849	N/A	N/A	0.492	0.492
YAP1	1.201	0.522	-0.557	-0.174	N/A	0.6	2.176	1.316
SP1	2.195	1.978	1.185	N/A	N/A	N/A	0.958	0.192
TNF (family)	0.849	0.849	N/A	N/A	N/A	1.98	0.849	1.98
trichostatin A	-0.816	-0.863	-0.62	-0.555	N/A	-0.896	-1.456	-1.129
MAPK14	2.111	N/A	N/A	N/A	N/A	N/A	2.111	2.111
RELA	1.954	1.954	N/A	N/A	N/A	N/A	1.188	1.188
F2	1.71	1.387	1.944	N/A	N/A	N/A	1.179	N/A
WWTR1	-0.64	-0.64	-2.0	-1.664	N/A	-0.555	-0.152	-0.555
adenosine triphosphate	2.219	1.982	1.982	N/A	N/A	N/A	N/A	N/A
IKBKB	2.213	1.982	1.982	N/A	N/A	N/A	N/A	N/A
RAF1	2.213	N/A	1.98	N/A	N/A	N/A	1.982	N/A
calcitriol	1.379	1.109	0.808	N/A	N/A	0.351	1.789	0.723
WNT5A	-1.969	N/A	N/A	N/A	N/A	N/A	-1.977	-2.201
PDGF-BB	2.429	2.216	N/A	1.477	N/A	N/A	0.0	0.0
PD98059	-1.502	-0.98	-2.19	N/A	N/A	N/A	-0.115	-1.27
RXRA	-2.0	-2.0	-2.0	N/A	N/A	N/A	N/A	N/A
IMMT	-2.0	N/A	N/A	N/A	N/A	N/A	-2.0	-2.0
CEBPB	1.501	1.501	N/A	N/A	N/A	-1.303	1.192	0.464
CAMP	1.981	1.981	1.981	N/A	N/A	N/A	N/A	N/A
palmitic acid	2.619	2.421	N/A	N/A	N/A	-0.063	0.698	-0.063
growth hormone	1.069	1.069	N/A	N/A	N/A	0.537	2.415	0.537
SORL1	2.236	2.236	N/A	N/A	N/A	N/A	N/A	1.0
TGFBR2	-1.455	-1.172	-1.982	N/A	N/A	N/A	-0.391	0.391
ESR2	-0.277	-0.277	-1.0	N/A	0.577	-0.447	1.414	-1.342
APP	1.27	1.27	0.638	0.851	N/A	0.284	-0.321	-0.689
OGA	-1.414	-1.414	N/A	N/A	-0.447	-1.0	-1.0	0.0
cyclosporin A	-1.091	-1.091	N/A	N/A	N/A	-0.068	-1.446	-1.446
cycloheximide	-1.36	-1.117	-0.563	0.0	N/A	0.896	-0.239	0.956
HIF1A	1.751	1.461	N/A	N/A	N/A	N/A	1.154	0.747
PPARG	1.67	1.67	N/A	N/A	0.382	-0.688	0.349	-0.348
32-134D	-1.969	N/A	N/A	N/A	N/A	N/A	-1.969	-1.154
CEBPA	1.172	1.172	N/A	N/A	N/A	-0.13	1.953	0.57
Immunoglobulin	0.711	0.426	0.896	1.387	N/A	1.342	0.0	-0.213
abemaciclib	2.425	2.425	N/A	N/A	N/A	N/A	N/A	N/A
prostaglandin E2	1.119	0.706	0.791	N/A	N/A	0.078	1.447	0.672
butyric acid	-0.83	-0.83	-0.492	-0.492	N/A	-0.655	N/A	-1.475
CD3 (complex)	1.113	1.237	1.237	N/A	N/A	N/A	0.342	0.704
CTNNB1	1.718	1.188	N/A	N/A	N/A	N/A	1.286	0.41
ERBB2	1.915	1.633	0.447	0.0	N/A	N/A	N/A	-0.557
ethanol	0.811	0.853	0.818	N/A	N/A	N/A	-1.698	0.372
EPAS1	2.186	2.0	N/A	N/A	N/A	N/A	N/A	0.254
PPARA	1.157	1.157	N/A	N/A	N/A	-0.176	1.938	N/A
tretinoin	1.224	0.935	0.874	-0.092	N/A	N/A	-0.102	-1.123
RBPJ	-1.342	-1.0	N/A	N/A	N/A	N/A	-1.0	-1.0
molybdenum disulfide	-0.816	-1.342	-0.816	N/A	N/A	-0.447	0.447	0.447
PGR	-0.184	-0.926	0.371	0.0	N/A	0.08	1.691	1.046
JNK	1.963	1.963	N/A	N/A	N/A	N/A	-0.156	-0.156
budesonide	-2.236	N/A	N/A	N/A	N/A	N/A	N/A	-2.0
cardiotoxin	2.236	2.0	N/A	N/A	N/A	N/A	N/A	N/A
D-glucose	0.614	0.614	0.218	-0.092	N/A	-0.72	-1.932	N/A
PRKCD	1.951	1.951	N/A	N/A	N/A	N/A	N/A	-0.254
bucladesine	1.664	1.342	N/A	N/A	N/A	0.447	0.555	0.128
estrogen	2.166	1.922	N/A	N/A	N/A	N/A	N/A	N/A
N-acetyl-L-cysteine	-1.477	-1.477	-1.131	N/A	N/A	N/A	N/A	N/A
FGF2	2.143	1.91	N/A	N/A	N/A	N/A	N/A	N/A
Scd1	-2.0	-2.0	N/A	N/A	N/A	N/A	N/A	N/A
aflatoxin B1	2.0	2.0	N/A	N/A	N/A	N/A	N/A	N/A
NFAT5	-0.954	-1.192	N/A	N/A	N/A	N/A	0.927	0.927
carbon tetrachloride	1.987	1.987	N/A	N/A	N/A	N/A	N/A	N/A
FSH	N/A	N/A	N/A	N/A	N/A	N/A	1.987	1.987
STAT1	1.987	1.987	N/A	N/A	N/A	N/A	N/A	N/A
BHLHE40	1.982	1.982	N/A	N/A	N/A	N/A	N/A	N/A
AR	1.98	1.98	N/A	N/A	N/A	N/A	N/A	N/A
SFTPA1	-1.964	-1.964	N/A	N/A	N/A	N/A	N/A	N/A
JUN	1.964	1.964	N/A	N/A	N/A	N/A	N/A	N/A
genistein	N/A	N/A	N/A	N/A	N/A	N/A	-1.96	-1.96
cyclic AMP	1.951	1.951	N/A	N/A	N/A	N/A	N/A	N/A
ADIPOQ	-1.532	-1.221	N/A	N/A	N/A	N/A	-0.998	-0.092
actinomycin D	-1.387	-1.387	-1.067	N/A	N/A	N/A	N/A	N/A
10E,12Z-octadecadienoic acid	0.808	0.808	N/A	N/A	-0.283	0.927	-0.492	0.492
IgG	0.979	0.979	N/A	N/A	N/A	N/A	N/A	-1.839
STAT6	1.886	1.886	N/A	N/A	N/A	N/A	N/A	N/A
ETS1	1.843	1.843	N/A	N/A	N/A	N/A	N/A	N/A
H89	-1.706	-1.154	N/A	N/A	N/A	N/A	-0.44	0.339
IGF1	1.792	1.792	N/A	N/A	N/A	N/A	N/A	N/A
SMAD3	1.068	0.772	-0.371	N/A	N/A	N/A	N/A	1.206
Salmonella enterica serotype abortus equi lipopolysaccharide	2.219	N/A	N/A	N/A	N/A	N/A	0.762	-0.152
IL2	1.756	1.195	N/A	0.068	N/A	0.068	-0.0	-0.0
TRIM28	1.0	N/A	N/A	N/A	N/A	N/A	-1.0	-1.0
TMPRSS2-ERG	-2.0	N/A	N/A	N/A	N/A	N/A	1.0	0.0
progesterone	0.385	-0.47	0.327	N/A	N/A	0.051	1.096	0.636
KLF6	1.498	N/A	1.225	N/A	N/A	N/A	0.225	N/A
SIRT1	0.447	0.447	N/A	N/A	N/A	N/A	1.0	1.0
CCND1	0.6	0.0	N/A	1.0	N/A	N/A	N/A	1.091
CSF1	1.478	1.206	N/A	N/A	N/A	N/A	N/A	N/A
sirolimus	-0.651	-1.131	-0.651	N/A	N/A	N/A	N/A	0.152
ADAM12	-0.478	-0.478	N/A	N/A	-0.152	-0.128	N/A	1.342
TP73	1.078	0.747	0.747	N/A	N/A	N/A	N/A	N/A
ESR1	1.413	1.124	N/A	N/A	N/A	N/A	N/A	N/A
MIF	1.235	1.235	N/A	N/A	N/A	N/A	N/A	N/A
PPARD	-0.447	-1.0	0.0	N/A	N/A	-1.0	0.0	N/A
estrogen receptor	-1.0	-1.0	N/A	N/A	N/A	N/A	N/A	0.447
troglitazone	1.222	1.222	N/A	N/A	N/A	N/A	N/A	N/A
concanavalin a	N/A	N/A	N/A	N/A	N/A	N/A	1.199	1.199
aspirin	-1.387	-1.0	N/A	N/A	N/A	N/A	N/A	N/A
cigarette smoke	1.962	N/A	N/A	N/A	N/A	N/A	-0.193	-0.193
PPARGC1A	0.152	N/A	N/A	N/A	-1.067	N/A	N/A	-1.067
CD28	0.664	N/A	0.783	N/A	N/A	N/A	-0.783	N/A
tyrphostin AG 1478	-2.216	N/A	N/A	N/A	N/A	N/A	N/A	N/A
thapsigargin	0.076	N/A	N/A	N/A	-1.268	N/A	N/A	0.851
KRAS	2.194	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NLRX1	-0.434	-0.818	N/A	N/A	N/A	N/A	N/A	-0.941
EDN1	1.035	N/A	N/A	N/A	N/A	N/A	N/A	1.141
curcumin	-0.068	-0.068	N/A	N/A	N/A	N/A	-0.068	-1.969
STK11	-0.694	-0.24	N/A	N/A	N/A	N/A	-1.181	N/A
PKD1	-1.0	-1.0	N/A	N/A	N/A	N/A	N/A	N/A
NUPR1	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LAMA4	-2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cholesterol	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lapatinib	-2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD36	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
diethylstilbestrol	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GAST	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tamoxifen	1.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
SMAD7	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MET	1.987	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL27	1.982	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHUK	1.982	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5-azacytidine	1.981	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9,10-dimethyl-1,2-benzanthracene	1.98	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EREG	1.972	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dextran sulfate	1.954	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hydrogen peroxide	1.953	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ap1	1.941	N/A	N/A	N/A	N/A	N/A	N/A	N/A
INHA	N/A	N/A	N/A	N/A	N/A	N/A	0.914	0.914
methylprednisolone	0.882	0.882	N/A	N/A	N/A	N/A	N/A	N/A
GLI1	0.555	0.152	N/A	N/A	N/A	N/A	0.762	0.277
erlotinib	1.732	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOTCH1	-0.577	N/A	N/A	N/A	N/A	N/A	-0.577	-0.577
E. coli B4 lipopolysaccharide	1.715	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL10RA	-0.447	-1.0	N/A	N/A	N/A	N/A	N/A	0.0
VAV3	-1.414	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VAV2	-1.414	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCL2	0.698	0.698	N/A	N/A	N/A	N/A	N/A	N/A
EGFR	1.387	N/A	N/A	N/A	N/A	N/A	N/A	N/A
INS	-0.243	0.277	N/A	N/A	N/A	N/A	-0.832	N/A
SMARCA4	1.067	N/A	N/A	N/A	N/A	N/A	N/A	-0.283
IgE	1.342	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EZH2	-0.378	-0.447	N/A	N/A	N/A	N/A	0.0	0.447
FOS	1.154	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SATB1	1.067	N/A	N/A	N/A	N/A	N/A	N/A	N/A
metribolone	N/A	N/A	N/A	N/A	-1.0	N/A	N/A	N/A
CLEC4G	1.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HNRNPU	-0.152	N/A	N/A	N/A	N/A	N/A	0.277	-0.555
indomethacin	0.254	N/A	N/A	N/A	N/A	N/A	0.689	N/A
IL10	0.664	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mifepristone	-0.625	0.0	N/A	N/A	N/A	N/A	N/A	N/A
IL17F	0.447	N/A	N/A	N/A	N/A	N/A	0.0	0.0
PTEN	0.314	-0.068	N/A	N/A	N/A	N/A	N/A	N/A
pioglitazone	0.334	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMOX1	0.157	0.157	N/A	N/A	N/A	N/A	N/A	N/A
filgrastim	-0.152	-0.152	N/A	N/A	N/A	N/A	N/A	N/A
KMT2D	-0.132	-0.132	N/A	N/A	N/A	N/A	N/A	N/A
insulin	N/A	N/A	N/A	N/A	N/A	-0.176	N/A	N/A
IL3	0.13	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCNC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CpG ODN M362	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
epinephrine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
caffeic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VEGFD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PI3K (complex)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HHEX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SUZ12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZBTB48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
proteoglycan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL36B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZBED6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OLR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
asoprisnil	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STAT4:STAT1:IL12A gene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
indeglitazar	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NPAS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
leflunomide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CRLF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MYZAP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SMARCA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BMS-345541	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TEAD1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FGFR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHOA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SCH79797	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PPP1R13L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STX18	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICMT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARID3B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IFNL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UCP3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-450a-5p (and other miRNAs w/seed UUUGCGA)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FERMT1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CTLA4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SOX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PHB2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ETV1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KLK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DPP4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFAP2A homodimer:TGFA gene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Rp-8-Br-cAMPS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SOCS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CPT1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MDM2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
thymidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
meds433	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP2K3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Secretase gamma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
harpagoside	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OLFM4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AMBN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STAT6 dimer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen type II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
oleandrin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IFN beta	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
scavenger receptor class A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EMX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
latanoprost	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGB2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
14,15-epoxyeicosatrienoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LAMA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BTNL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATF4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RRAS2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MKNK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FKBP10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
