© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
Pathogen Induced Cytokine Storm Signaling Pathway	3.0	2.828	1.342	1.342	N/A	1.89	2.236	1.414
Neutrophil degranulation	2.828	2.236	2.0	N/A	-1.0	N/A	N/A	2.0
Wound Healing Signaling Pathway	2.111	1.897	0.447	0.447	N/A	1.134	2.0	0.707
Cachexia Signaling Pathway	2.646	2.449	N/A	1.0	0.0	1.342	N/A	0.447
Autism Signaling Pathway	1.89	1.89	1.0	N/A	N/A	0.447	2.0	0.0
Irritable Bowel Syndrome Signaling Pathway	1.134	1.134	N/A	2.0	N/A	2.0	-0.447	0.447
Hepatic Fibrosis Signaling Pathway	2.646	2.449	N/A	N/A	N/A	N/A	2.0	N/A
S100 Family Signaling Pathway	2.828	2.646	N/A	N/A	N/A	N/A	1.342	0.0
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.449	2.236	N/A	N/A	N/A	N/A	2.0	N/A
Collagen degradation	2.0	2.0	1.0	1.0	N/A	N/A	N/A	0.447
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.646	2.449	N/A	N/A	N/A	N/A	1.342	0.0
Hepatic Cholestasis	2.236	2.0	N/A	N/A	N/A	2.0	N/A	N/A
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	2.449	2.236	0.0	1.0	N/A	0.0	N/A	0.447
Pulmonary Healing Signaling Pathway	2.449	2.236	N/A	N/A	N/A	N/A	1.0	N/A
Assembly of collagen fibrils and other multimeric structures	2.0	2.0	N/A	N/A	N/A	N/A	N/A	1.342
GP6 Signaling Pathway	2.0	2.0	N/A	N/A	N/A	0.0	N/A	1.342
Colorectal Cancer Metastasis Signaling	2.0	2.0	N/A	N/A	N/A	N/A	1.0	N/A
Sheddase Signaling Pathway	1.414	1.134	1.342	N/A	N/A	N/A	-0.447	0.447
HIF1α Signaling	2.236	2.236	N/A	N/A	N/A	N/A	N/A	N/A
PIP3 activates AKT signaling	2.449	2.0	N/A	N/A	N/A	N/A	N/A	N/A
Extracellular matrix organization	2.0	2.0	N/A	N/A	N/A	0.0	N/A	0.447
Tuberculosis Active Signaling Pathway	-2.236	-2.0	N/A	N/A	N/A	N/A	N/A	N/A
Cardiac Hypertrophy Signaling (Enhanced)	2.236	2.0	N/A	N/A	N/A	N/A	N/A	N/A
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.236	2.0	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPase cycle	2.236	2.0	N/A	N/A	N/A	N/A	N/A	N/A
Molecular Mechanisms of Cancer	2.0	2.0	N/A	N/A	N/A	N/A	N/A	N/A
Osteoarthritis Pathway	1.633	1.342	N/A	N/A	N/A	N/A	1.0	N/A
Glycation Signaling Pathway	1.342	1.342	N/A	N/A	N/A	N/A	N/A	0.0
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	0.816	0.816	N/A	N/A	N/A	N/A	-0.447	0.447
RAF/MAP kinase cascade	2.236	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-33 Signaling Pathway	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-10 signaling	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Extra-nuclear estrogen signaling	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hematoma Resolution Signaling Pathway	-1.0	-1.0	N/A	N/A	N/A	N/A	N/A	N/A
Role of Tissue Factor in Cancer	2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDX Gastrointestinal Cancer Signaling Pathway	-0.816	-0.816	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-4 and Interleukin-13 signaling	1.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tuberculosis Latent Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Activin Inhibin Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-12 Signaling and Production in Macrophages	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Choline catabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Factors Promoting Cardiogenesis in Vertebrates	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell surface interactions at the vascular wall	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Agranulocyte Adhesion and Diapedesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inhibition of ARE-Mediated mRNA Degradation Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEY1 Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WNT/SHH Axonal Guidance Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bone Mineralization Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UDP-N-acetyl-D-galactosamine Biosynthesis II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Renal Cell Carcinoma Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-10 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Airway Pathology in Chronic Obstructive Pulmonary Disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FXR/RXR Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HER-2 Signaling in Breast Cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neutrophil Extracellular Trap Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Systemic Lupus Erythematosus in B Cell Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Reelin signalling pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Phenylethylamine Degradation I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of JAK2 in Hormone-like Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LXR/RXR Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Airway Inflammation in Asthma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Class B/2 (Secretin family receptors)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COPII-mediated vesicle transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Microautophagy Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-12 family signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macrophage Alternative Activation Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Cytokines in Mediating Communication between Immune Cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VDR/RXR Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macrophage Classical Activation Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WNT/β-catenin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-6 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cyclophilin Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WNT ligand biogenesis and trafficking	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuroinflammation Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Th2 Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pancreatic Adenocarcinoma Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLEAR Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G Beta Gamma Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tumor Microenvironment Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inhibition of Matrix Metalloproteases	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Activation of Matrix Metalloproteinases	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPases activate PAKs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Atherosclerosis Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPases activate CIT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ERBB Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
p38 MAPK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-8 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adrenergic Receptor Signaling Pathway (Enhanced)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Basal Cell Carcinoma Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
