© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
lipopolysaccharide	1.54	1.58	2.001	1.504	5.09	4.773	4.821	3.49
TGFB1	-3.224	-2.715	-0.978	-1.209	5.174	3.609	4.099	1.967
tetradecanoylphorbol acetate	1.624	1.425	2.863	2.463	3.885	3.721	3.701	2.279
IL1B	2.189	1.823	2.881	2.371	2.954	3.086	2.875	2.738
IL1A	1.606	1.386	2.438	2.602	3.197	3.141	2.923	2.779
PDGF-BB	1.772	1.494	1.854	1.145	3.409	3.521	3.52	3.269
NFkB (complex)	1.505	1.187	2.567	2.065	3.733	3.356	2.919	2.21
AGT	-1.987	-1.263	-0.397	-0.443	5.052	4.242	4.003	1.587
NFkB (family)	1.712	2.158	2.168	2.386	2.896	2.719	2.738	2.151
poly rI:rC-RNA	1.852	1.583	1.85	1.153	3.496	3.22	2.919	2.75
IFNG	1.812	1.75	2.603	1.838	3.319	2.089	2.792	2.599
TNF	2.067	1.55	1.926	1.119	3.284	3.358	3.157	2.326
C5	2.218	1.982	2.156	2.09	2.699	2.699	2.573	2.218
PD98059	-1.084	-1.107	-2.172	-1.86	-3.306	-3.449	-3.099	-1.918
IL1	2.105	1.854	2.411	1.588	2.745	2.52	2.22	2.437
TREM1	2.39	2.183	2.183	1.941	2.173	2.173	2.173	1.935
U0126	-1.229	-1.017	-1.71	-2.127	-2.716	-3.06	-2.927	-2.275
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	2.207	1.981	1.972	1.972	2.42	2.42	1.993	1.991
KLF6	1.205	0.873	1.893	2.164	3.073	2.913	2.921	1.859
STING1	1.333	1.51	1.459	1.181	2.917	2.917	2.751	2.77
OSM	0.819	0.435	1.053	1.524	4.091	3.489	2.901	2.419
alpha catenin	2.401	1.49	2.191	2.207	-3.548	-2.207	-2.219	-0.463
APP	1.501	1.391	1.81	1.714	2.885	2.823	2.819	1.783
SORL1	-2.53	-1.667	-1.633	-2.236	3.357	2.121	1.89	-1.134
vidutolimod	2.236	2.0	2.0	1.0	2.646	2.449	2.236	2.0
FGF2	1.4	1.891	1.293	1.553	2.4	2.992	2.482	2.51
STAT3	1.298	1.223	0.9	0.969	2.764	3.743	3.154	2.446
