© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
Extracellular matrix organization	-3.0	-2.236	N/A	-1.0	3.873	2.828	1.633	-1.0
Integrin cell surface interactions	-2.828	-2.0	-2.0	N/A	3.464	2.646	2.0	N/A
Irritable Bowel Syndrome Signaling Pathway	1.414	1.633	1.342	1.0	2.449	2.449	1.89	0.816
Pulmonary Fibrosis Idiopathic Signaling Pathway	-1.732	-1.633	-1.633	-1.342	2.714	2.236	0.816	-0.816
Wound Healing Signaling Pathway	-1.265	-0.447	0.0	N/A	3.742	2.828	2.333	1.134
Collagen biosynthesis and modifying enzymes	-1.667	-0.816	-1.342	N/A	3.317	1.89	2.236	0.0
Glycation Signaling Pathway	1.633	2.0	N/A	N/A	2.236	2.236	1.633	1.342
Pathogen Induced Cytokine Storm Signaling Pathway	-0.905	0.0	0.0	N/A	3.606	2.828	2.121	1.134
Assembly of collagen fibrils and other multimeric structures	-1.414	-0.447	-1.342	N/A	3.162	1.633	2.0	0.447
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	0.0	0.378	N/A	N/A	3.464	2.53	2.449	1.414
Post-translational protein phosphorylation	0.0	0.378	N/A	N/A	3.317	2.333	2.449	1.414
Dendritic Cell Maturation	-0.816	-1.0	N/A	N/A	2.449	2.236	2.0	1.342
Elastic fibre formation	-0.816	-0.447	N/A	N/A	3.0	2.646	1.89	1.0
Hepatic Fibrosis Signaling Pathway	-2.121	-1.633	-1.0	0.0	1.89	1.633	1.0	-0.447
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	1.414	1.89	0.447	1.0	1.633	1.633	1.134	0.0
Syndecan interactions	-2.449	N/A	-2.0	N/A	2.646	2.0	N/A	N/A
IL-17A Signaling in Fibroblasts	0.0	0.0	N/A	N/A	2.646	2.646	2.449	1.342
Cachexia Signaling Pathway	0.378	0.447	N/A	N/A	2.236	2.236	1.89	1.633
Tumor Microenvironment Pathway	-0.378	0.0	0.447	N/A	2.646	2.449	1.89	0.378
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	0.447	0.0	N/A	N/A	2.236	2.236	2.236	1.0
Acute Phase Response Signaling	1.0	N/A	N/A	N/A	2.449	2.449	2.0	N/A
Collagen degradation	-1.89	-1.0	-2.0	N/A	2.828	N/A	N/A	N/A
LXR/RXR Activation	-1.0	N/A	N/A	N/A	-1.342	-1.342	-2.0	-2.0
Hepatic Cholestasis	0.447	N/A	N/A	N/A	2.0	2.0	1.342	1.0
NAFLD Signaling Pathway	0.447	N/A	N/A	N/A	2.0	2.0	1.342	1.0
Activin Inhibin Signaling Pathway	-0.816	N/A	N/A	N/A	2.236	2.236	1.0	0.447
HIF1α Signaling	0.378	0.447	N/A	N/A	2.0	2.0	1.342	0.447
Signaling by PDGF	-1.89	-1.0	-1.0	N/A	2.646	N/A	N/A	N/A
Response to elevated platelet cytosolic Ca2+	-1.342	N/A	N/A	N/A	2.828	2.236	N/A	0.0
Neutrophil Extracellular Trap Signaling Pathway	2.236	N/A	2.0	N/A	-2.121	N/A	N/A	N/A
Macrophage Classical Activation Signaling Pathway	1.0	N/A	N/A	N/A	2.0	2.0	1.342	N/A
Complement cascade	-1.0	-1.0	N/A	N/A	2.828	1.342	N/A	N/A
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	-1.0	-0.378	-0.378	-0.447	2.111	0.816	0.447	-0.447
Interleukin-10 signaling	N/A	N/A	N/A	N/A	2.0	2.0	2.0	N/A
Cerebral Malformation Signaling Pathway	1.0	1.0	1.0	1.0	1.0	1.0	N/A	N/A
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	N/A	N/A	N/A	2.0	2.0	2.0	N/A	N/A
Eicosanoid Signaling	N/A	N/A	N/A	2.0	2.0	2.0	N/A	N/A
Interleukin-4 and Interleukin-13 signaling	-1.0	N/A	N/A	N/A	1.633	1.342	1.342	N/A
IL-4 Signaling	-2.449	N/A	N/A	N/A	2.828	N/A	N/A	0.0
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.0	1.0	N/A	N/A	0.378	0.378	0.378	1.0
IL-6 Signaling	0.0	N/A	N/A	N/A	2.0	N/A	2.0	1.0
GP6 Signaling Pathway	-2.236	N/A	N/A	N/A	2.646	N/A	N/A	N/A
Signaling by MET	-2.236	N/A	N/A	N/A	2.236	N/A	N/A	N/A
Collagen chain trimerization	-1.633	N/A	N/A	N/A	2.828	N/A	N/A	N/A
Pulmonary Healing Signaling Pathway	-0.447	-1.0	0.0	N/A	N/A	N/A	2.0	1.0
Sheddase Signaling Pathway	0.832	0.0	1.134	1.0	-0.577	-0.302	0.0	-0.577
Sirtuin Signaling Pathway	2.0	N/A	N/A	N/A	2.0	N/A	N/A	N/A
Glycosaminoglycan metabolism	N/A	-2.0	N/A	N/A	2.0	N/A	N/A	N/A
Degradation of the extracellular matrix	N/A	N/A	N/A	N/A	2.0	2.0	N/A	N/A
IL-17 Signaling	1.342	N/A	N/A	N/A	1.0	1.0	0.447	0.0
RAR Activation	-0.333	0.0	0.0	N/A	-1.633	-1.342	-0.447	0.0
Macrophage Alternative Activation Signaling Pathway	-1.342	N/A	N/A	N/A	N/A	N/A	-1.0	-1.0
Parkinson's Signaling Pathway	1.0	N/A	N/A	N/A	1.0	N/A	1.0	N/A
NOD1/2 Signaling Pathway	0.447	N/A	N/A	N/A	N/A	N/A	1.342	1.0
Hematoma Resolution Signaling Pathway	-0.333	-0.378	0.0	0.0	-0.378	-0.816	-0.378	0.447
Atherosclerosis Signaling	-0.447	N/A	N/A	N/A	2.0	N/A	N/A	N/A
NCAM signaling for neurite out-growth	N/A	N/A	N/A	N/A	2.236	N/A	N/A	N/A
Cell surface interactions at the vascular wall	N/A	N/A	N/A	N/A	2.0	N/A	N/A	N/A
Bone Mineralization Signaling Pathway	-1.0	N/A	N/A	N/A	1.0	N/A	N/A	N/A
FXR/RXR Activation	-1.0	N/A	N/A	N/A	N/A	N/A	-1.0	N/A
Binding and Uptake of Ligands by Scavenger Receptors	-2.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
S100 Family Signaling Pathway	0.0	N/A	N/A	N/A	1.0	N/A	1.0	0.0
Adrenergic Receptor Signaling Pathway (Enhanced)	-1.0	N/A	N/A	N/A	N/A	N/A	-1.0	N/A
HMGB1 Signaling	0.0	N/A	N/A	N/A	N/A	N/A	1.0	1.0
Autism Signaling Pathway	1.0	N/A	N/A	N/A	N/A	N/A	1.0	N/A
CGAS-STING Signaling Pathway	1.0	N/A	N/A	N/A	N/A	N/A	1.0	N/A
Cardiac Hypertrophy Signaling (Enhanced)	N/A	N/A	N/A	N/A	N/A	N/A	1.0	1.0
Formation of Fibrin Clot (Clotting Cascade)	N/A	N/A	N/A	N/A	2.0	N/A	N/A	N/A
Sleep REM Signaling Pathway	-1.0	N/A	N/A	N/A	N/A	N/A	-1.0	N/A
Erythropoietin Signaling Pathway	-1.0	N/A	N/A	N/A	N/A	N/A	-1.0	N/A
Multiple Sclerosis Signaling Pathway	1.0	N/A	N/A	N/A	N/A	N/A	1.0	N/A
HEY1 Signaling Pathway	-0.447	N/A	N/A	N/A	N/A	N/A	0.0	-1.0
