© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
IL1B	4.248	4.248	3.782	3.806	4.151	4.248	4.248	4.129
lipopolysaccharide	4.271	4.271	3.417	3.813	4.153	4.271	3.941	3.934
TNF	3.997	3.843	3.803	3.674	3.874	3.997	4.226	4.209
IL1A	3.522	3.522	3.414	3.113	3.522	3.522	3.522	3.522
NFkB (complex)	3.51	3.635	3.075	3.094	3.366	3.51	3.635	3.51
tetradecanoylphorbol acetate	3.509	3.283	2.948	3.26	3.368	3.509	3.283	3.283
poly rI:rC-RNA	3.312	3.312	3.135	3.3	3.183	3.312	3.413	3.429
IL17A	3.339	3.339	3.187	3.209	3.209	3.339	3.339	3.209
IL1	3.118	3.118	3.248	3.289	2.97	3.118	3.66	3.539
APP	3.248	3.381	3.091	3.112	3.112	3.248	3.248	3.381
LY294002	-3.321	-3.321	-2.701	-2.672	-3.321	-3.321	-3.167	-3.167
SB203580	-3.384	-3.384	-2.601	-2.76	-3.384	-3.384	-2.954	-3.097
CHUK	3.245	3.245	2.75	2.758	3.096	3.245	3.096	3.245
U0126	-3.081	-3.081	-2.915	-2.915	-3.081	-3.081	-3.081	-3.081
IKBKB	3.088	3.234	2.577	2.747	2.937	3.088	3.234	3.234
SP600125	-3.092	-3.092	-2.75	-2.769	-3.092	-3.092	-3.092	-3.092
TLR4	3.107	3.107	2.607	2.79	3.107	3.107	3.107	2.963
LEP	3.066	3.213	2.547	2.736	3.066	3.066	3.066	3.066
PD98059	-3.079	-3.079	-2.577	-2.764	-2.934	-3.079	-3.079	-3.079
CD36	2.929	2.929	2.929	2.929	2.76	2.929	2.929	2.929
NPM1	3.0	3.0	2.646	2.646	3.0	3.0	2.828	3.0
Salmonella enterica serotype abortus equi lipopolysaccharide	2.952	2.952	2.784	2.784	2.784	2.952	2.952	2.779
IL4	2.91	2.91	2.583	2.578	2.91	2.91	2.753	2.753
EGF	3.065	2.595	2.579	2.762	2.899	3.065	2.595	2.595
IL1R	2.761	2.761	2.761	2.761	2.592	2.761	2.761	2.761
STING1	2.75	2.75	2.581	2.75	2.75	2.75	2.75	2.75
TLR3	2.785	2.785	2.603	2.603	2.785	2.785	2.785	2.599
CSF2	2.728	2.728	2.559	2.728	2.728	2.728	2.559	2.728
RELA	2.644	2.644	2.571	2.461	2.488	2.644	3.074	2.928
TLR2	2.766	2.766	2.409	2.409	2.766	2.766	2.766	2.766
MYD88	2.765	2.765	2.439	2.606	2.765	2.765	2.606	2.606
bleomycin	2.735	2.735	2.546	2.354	2.735	2.735	2.735	2.735
CEBPB	2.778	2.778	2.256	2.914	2.592	2.778	2.598	2.598
KLF6	2.773	2.773	2.389	2.588	2.606	2.773	2.773	2.588
IgE	2.747	2.747	2.38	2.569	2.569	2.747	2.747	2.747
TNFSF11	2.758	2.758	2.401	2.579	2.758	2.758	2.579	2.579
OSM	2.788	2.788	2.23	2.636	2.788	2.788	2.636	2.478
cytokine	2.569	2.75	2.414	2.569	2.569	2.569	2.75	2.75
CTNNB1	2.839	2.839	2.281	2.288	2.839	2.839	2.477	2.477
NfkB1-RelA	2.633	2.633	2.438	2.633	2.633	2.633	2.633	2.633
resiquimod	2.605	2.605	2.605	2.605	2.605	2.605	2.605	2.605
IL18	2.596	2.596	2.396	2.596	2.596	2.596	2.596	2.596
JUN	2.48	2.639	2.595	2.777	2.314	2.48	2.639	2.639
Pam3-Cys-Ser-Lys4	2.509	2.509	2.604	2.604	2.509	2.509	2.604	2.604
p38 MAPK	2.586	2.586	2.203	2.419	2.899	2.586	2.586	2.586
ERK1/2	2.602	2.602	2.407	2.407	2.602	2.602	2.602	2.602
peptidoglycan	2.551	2.551	2.551	2.551	2.551	2.551	2.551	2.551
ERK	2.573	2.573	2.573	2.573	2.388	2.573	2.573	2.573
IL33	2.578	2.578	2.379	2.578	2.4	2.578	2.578	2.578
E. coli B5 lipopolysaccharide	2.552	2.552	2.552	2.36	2.552	2.552	2.552	2.552
STK11	-2.573	-2.573	-2.371	-2.371	-2.573	-2.573	-2.573	-2.573
PRKCD	2.569	2.569	2.367	2.569	2.385	2.569	2.569	2.569
HIF1A	2.568	2.755	2.167	2.383	2.383	2.568	2.583	2.755
pyrrolidine dithiocarbamate	-2.582	-2.582	-2.171	-2.384	-2.582	-2.582	-2.582	-2.582
BTG2	-2.431	-2.616	-2.431	-2.431	-2.431	-2.431	-2.616	-2.616
IL37	-2.568	-2.568	-2.166	-2.365	-2.568	-2.568	-2.568	-2.568
FOS	2.517	2.517	2.317	2.322	2.517	2.517	2.517	2.517
LDL	2.473	2.658	2.034	2.262	2.473	2.473	2.658	2.658
STAT3	2.64	2.64	1.858	2.066	2.468	2.64	2.64	2.64
F2RL1	2.427	2.427	2.427	2.427	2.427	2.427	2.427	2.427
NS-398	-2.449	-2.449	-2.449	-2.449	-2.236	-2.449	-2.449	-2.449
hydrogen peroxide	2.562	2.562	2.158	2.158	2.562	2.562	2.377	2.377
IL10	-2.318	-2.318	-2.779	-2.779	-2.146	-2.318	-2.318	-2.318
Lymphotoxin	2.433	2.433	2.236	2.433	2.433	2.433	2.433	2.433
IL1RN	-2.408	-2.408	-2.408	-2.408	-2.408	-2.408	-2.408	-2.408
IL36A	2.406	2.406	2.406	2.406	2.406	2.406	2.406	2.406
IL17R	2.401	2.401	2.401	2.401	2.401	2.401	2.401	2.401
TLR5	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
MFGE8	2.425	2.425	2.219	2.425	2.425	2.425	2.425	2.425
CHD1	2.449	2.449	2.236	2.236	2.449	2.449	2.449	2.449
CITED2	-2.412	-2.412	-2.412	-2.412	-2.224	-2.412	-2.412	-2.412
DDX5	-2.414	-2.414	-2.414	-2.2	-2.414	-2.414	-2.414	-2.414
Ap1	2.395	2.395	2.21	2.395	2.395	2.395	2.395	2.395
curcumin	-2.398	-2.398	-2.185	-2.398	-2.398	-2.398	-2.398	-2.398
uric acid	2.398	2.398	2.185	2.398	2.398	2.398	2.398	2.398
E. coli B4 lipopolysaccharide	2.397	2.397	2.179	2.397	2.397	2.397	2.397	2.397
cisplatin	2.334	2.334	2.65	2.297	2.16	2.334	2.473	2.334
MAP3K8	2.414	2.414	2.214	2.214	2.414	2.414	2.414	2.414
cigarette smoke	2.362	2.362	2.362	2.362	2.362	2.362	2.362	2.362
IL2	2.406	2.406	2.193	2.406	2.406	2.406	2.193	2.406
STAT1	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.17
AGT	2.473	2.632	1.406	1.95	2.306	2.473	2.933	2.61
NR3C1	-2.38	-2.38	-2.19	-2.19	-2.38	-2.38	-2.38	-2.38
salmonella minnesota R595 lipopolysaccharides	2.381	2.381	2.179	2.381	2.183	2.381	2.381	2.381
HMGB1	2.4	2.4	2.186	2.4	2.222	2.4	2.222	2.4
F2	2.355	2.355	2.143	2.355	2.355	2.355	2.354	2.354
lysophosphatidic acid	2.377	2.377	2.161	2.161	2.377	2.377	2.377	2.377
IFNG	2.139	2.139	2.614	2.653	2.139	2.139	2.371	2.372
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine	2.395	2.395	1.969	2.19	2.395	2.395	2.395	2.395
lysophosphatidylinositol	2.449	2.449	2.236	2.236	2.449	2.449	2.236	2.0
CAMP	2.305	2.305	2.08	2.305	2.305	2.305	2.305	2.305
tyrphostin AG 1478	-2.37	-2.37	-1.922	-1.937	-2.37	-2.37	-2.37	-2.37
YBX1	2.236	2.236	2.236	2.236	2.236	2.236	2.236	2.236
IL6	2.385	2.385	1.85	2.045	2.385	2.385	2.219	2.219
FN1	2.229	2.229	2.229	2.229	2.229	2.229	2.229	2.229
TLR9	2.224	2.224	2.224	2.224	2.224	2.224	2.224	2.224
MLN120B	-2.224	-2.224	-2.224	-2.224	-2.224	-2.224	-2.224	-2.224
heme	-2.219	-2.219	-2.219	-2.219	-2.219	-2.219	-2.219	-2.219
3'-O-(4-benzoyl)benzoyladenosine 5'-triphosphate	2.219	2.219	2.219	2.219	2.219	2.219	2.219	2.219
IL17F dimer	2.219	2.219	2.219	2.219	2.219	2.219	2.219	2.219
CFI-402257	2.213	2.213	2.213	2.213	2.213	2.213	2.213	2.213
